metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom,
COLORECTAL,2182,3015,72.371400,2594,3923,66.122800,6564,6565,273,1,1/1/2017 12:00:00 AM,2063,0.723714,0.661228,
COLORECTAL,2182,3015,72.371400,2594,3923,66.122800,6564,6565,273,1,1/2/2017 12:00:00 AM,2063,0.723714,0.661228,
COLORECTAL,2182,3012,72.443500,2591,3919,66.113800,6564,6565,273,1,1/3/2017 12:00:00 AM,2063,0.724435,0.661138,
COLORECTAL,2182,3012,72.443500,2591,3919,66.113800,6564,6565,273,1,1/4/2017 12:00:00 AM,2063,0.724435,0.661138,
COLORECTAL,2179,3008,72.440100,2591,3917,66.147500,6564,6565,273,1,1/5/2017 12:00:00 AM,2063,0.724401,0.661475,
COLORECTAL,2185,3011,72.567200,2594,3918,66.207200,6564,6565,273,1,1/6/2017 12:00:00 AM,2063,0.725672,0.662072,
COLORECTAL,2182,3010,72.491600,2592,3918,66.156200,6564,6565,273,1,1/8/2017 12:00:00 AM,2063,0.724916,0.661562,
COLORECTAL,2186,3016,72.480100,2591,3917,66.147500,6564,6565,273,1,1/9/2017 12:00:00 AM,2063,0.724801,0.661475,
COLORECTAL,2190,3018,72.564600,2597,3919,66.266900,6564,6565,273,1,1/10/2017 12:00:00 AM,2063,0.725646,0.662669,
COLORECTAL,2193,3022,72.567800,2599,3918,66.334800,6564,6565,273,1,1/11/2017 12:00:00 AM,2063,0.725678,0.663348,
COLORECTAL,2195,3023,72.609900,2601,3920,66.352000,6564,6565,273,1,1/12/2017 12:00:00 AM,2063,0.726099,0.663520,
COLORECTAL,2196,3023,72.643000,2600,3920,66.326500,6564,6565,273,1,1/13/2017 12:00:00 AM,2063,0.726430,0.663265,
COLORECTAL,2192,3018,72.630800,2600,3920,66.326500,6564,6565,273,1,1/15/2017 12:00:00 AM,2063,0.726308,0.663265,
COLORECTAL,2193,3019,72.639900,2600,3919,66.343400,6564,6565,273,1,1/16/2017 12:00:00 AM,2063,0.726399,0.663434,
COLORECTAL,2192,3015,72.703100,2601,3918,66.385900,6564,6565,273,1,1/17/2017 12:00:00 AM,2063,0.727031,0.663859,
COLORECTAL,2193,3015,72.736300,2600,3917,66.377300,6564,6565,273,1,1/18/2017 12:00:00 AM,2063,0.727363,0.663773,
COLORECTAL,2190,3011,72.733300,2598,3916,66.343200,6564,6565,273,1,1/19/2017 12:00:00 AM,2063,0.727333,0.663432,
COLORECTAL,2190,3010,72.757400,2597,3913,66.368500,6564,6565,273,1,1/20/2017 12:00:00 AM,2063,0.727574,0.663685,
COLORECTAL,2189,3007,72.796800,2598,3913,66.394000,6564,6565,273,1,1/22/2017 12:00:00 AM,2063,0.727968,0.663940,
COLORECTAL,2192,3013,72.751400,2598,3912,66.411000,6564,6565,273,1,1/23/2017 12:00:00 AM,2063,0.727514,0.664110,
COLORECTAL,2191,3015,72.669900,2596,3912,66.359900,6564,6565,273,1,1/24/2017 12:00:00 AM,2063,0.726699,0.663599,
COLORECTAL,2189,3013,72.651800,2597,3912,66.385400,6564,6565,273,1,1/25/2017 12:00:00 AM,2063,0.726518,0.663854,
COLORECTAL,2185,3006,72.687900,2598,3912,66.411000,6564,6565,273,1,1/26/2017 12:00:00 AM,2063,0.726879,0.664110,
COLORECTAL,2184,3008,72.606300,2596,3914,66.326000,6564,6565,273,1,1/27/2017 12:00:00 AM,2063,0.726063,0.663260,
COLORECTAL,2182,3007,72.564000,2595,3915,66.283500,6564,6565,273,1,1/29/2017 12:00:00 AM,2063,0.725640,0.662835,
COLORECTAL,2187,3013,72.585400,2594,3914,66.274900,6564,6565,273,1,1/30/2017 12:00:00 AM,2063,0.725854,0.662749,
COLORECTAL,2185,3008,72.639600,2592,3912,66.257600,6564,6565,273,1,1/31/2017 12:00:00 AM,2063,0.726396,0.662576,
