metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom,
COLORECTAL,18312,26616,68.800700,21181,34102,62.110700,6564,6565,273,1,1/1/2017 12:00:00 AM,2063,0.688007,0.621107,
COLORECTAL,18316,26635,68.766600,21184,34122,62.083100,6564,6565,273,1,1/2/2017 12:00:00 AM,2063,0.687666,0.620831,
COLORECTAL,18332,26656,68.772500,21213,34167,62.086200,6564,6565,273,1,1/3/2017 12:00:00 AM,2063,0.687725,0.620862,
COLORECTAL,18392,26747,68.762800,21280,34284,62.069700,6564,6565,273,1,1/4/2017 12:00:00 AM,2063,0.687628,0.620697,
COLORECTAL,18452,26819,68.801900,21340,34380,62.070900,6564,6565,273,1,1/5/2017 12:00:00 AM,2063,0.688019,0.620709,
COLORECTAL,18619,27044,68.847000,21525,34650,62.121200,6564,6565,273,1,1/6/2017 12:00:00 AM,2063,0.688470,0.621212,
COLORECTAL,18625,27065,68.815800,21542,34692,62.095000,6564,6565,273,1,1/8/2017 12:00:00 AM,2063,0.688158,0.620950,
COLORECTAL,18733,27215,68.833300,21638,34834,62.117400,6564,6565,273,1,1/9/2017 12:00:00 AM,2063,0.688333,0.621174,
COLORECTAL,18831,27364,68.816600,21748,35004,62.130000,6564,6565,273,1,1/10/2017 12:00:00 AM,2063,0.688166,0.621300,
COLORECTAL,18872,27412,68.845700,21799,35076,62.147900,6564,6565,273,1,1/11/2017 12:00:00 AM,2063,0.688457,0.621479,
COLORECTAL,18887,27429,68.857700,21811,35095,62.148400,6564,6565,273,1,1/12/2017 12:00:00 AM,2063,0.688577,0.621484,
COLORECTAL,18892,27434,68.863400,21812,35104,62.135300,6564,6565,273,1,1/13/2017 12:00:00 AM,2063,0.688634,0.621353,
COLORECTAL,18871,27413,68.839600,21802,35110,62.096200,6564,6565,273,1,1/15/2017 12:00:00 AM,2063,0.688396,0.620962,
COLORECTAL,18878,27436,68.807400,21798,35114,62.077800,6564,6565,273,1,1/16/2017 12:00:00 AM,2063,0.688074,0.620778,
COLORECTAL,18887,27445,68.817600,21808,35119,62.097400,6564,6565,273,1,1/17/2017 12:00:00 AM,2063,0.688176,0.620974,
COLORECTAL,18895,27453,68.826700,21809,35127,62.086100,6564,6565,273,1,1/18/2017 12:00:00 AM,2063,0.688267,0.620861,
COLORECTAL,18900,27463,68.819800,21814,35130,62.095000,6564,6565,273,1,1/19/2017 12:00:00 AM,2063,0.688198,0.620950,
COLORECTAL,18903,27459,68.840800,21820,35133,62.106800,6564,6565,273,1,1/20/2017 12:00:00 AM,2063,0.688408,0.621068,
COLORECTAL,18886,27438,68.831500,21815,35133,62.092600,6564,6565,273,1,1/22/2017 12:00:00 AM,2063,0.688315,0.620926,
COLORECTAL,18912,27473,68.838400,21831,35146,62.115100,6564,6565,273,1,1/23/2017 12:00:00 AM,2063,0.688384,0.621151,
COLORECTAL,18914,27476,68.838200,21836,35142,62.136400,6564,6565,273,1,1/24/2017 12:00:00 AM,2063,0.688382,0.621364,
COLORECTAL,18916,27469,68.863000,21852,35147,62.173100,6564,6565,273,1,1/25/2017 12:00:00 AM,2063,0.688630,0.621731,
COLORECTAL,18908,27465,68.843900,21854,35137,62.196500,6564,6565,273,1,1/26/2017 12:00:00 AM,2063,0.688439,0.621965,
COLORECTAL,18902,27466,68.819600,21840,35136,62.158400,6564,6565,273,1,1/27/2017 12:00:00 AM,2063,0.688196,0.621584,
COLORECTAL,18865,27440,68.750000,21816,35139,62.084800,6564,6565,273,1,1/29/2017 12:00:00 AM,2063,0.687500,0.620848,
COLORECTAL,18904,27475,68.804300,21833,35148,62.117300,6564,6565,273,1,1/30/2017 12:00:00 AM,2063,0.688043,0.621173,
COLORECTAL,18909,27481,68.807500,21838,35147,62.133300,6564,6565,273,1,1/31/2017 12:00:00 AM,2063,0.688075,0.621333,
COLORECTAL,18925,27487,68.850700,21860,35151,62.188800,6564,6565,273,1,2/1/2017 12:00:00 AM,2063,0.688507,0.621888,
COLORECTAL,18932,27490,68.868600,21872,35151,62.222900,6564,6565,273,1,2/2/2017 12:00:00 AM,2063,0.688686,0.622229,
COLORECTAL,18929,27480,68.882800,21879,35159,62.228700,6564,6565,273,1,2/3/2017 12:00:00 AM,2063,0.688828,0.622287,
COLORECTAL,18903,27444,68.878400,21871,35158,62.207700,6564,6565,273,1,2/5/2017 12:00:00 AM,2063,0.688784,0.622077,
COLORECTAL,18907,27459,68.855300,21871,35161,62.202400,6564,6565,273,1,2/6/2017 12:00:00 AM,2063,0.688553,0.622024,
COLORECTAL,18902,27447,68.867200,21877,35165,62.212400,6564,6565,273,1,2/7/2017 12:00:00 AM,2063,0.688672,0.622124,
COLORECTAL,18902,27432,68.904900,21889,35167,62.243000,6564,6565,273,1,2/8/2017 12:00:00 AM,2063,0.689049,0.622430,
COLORECTAL,18906,27426,68.934500,21902,35176,62.264000,6564,6565,273,1,2/9/2017 12:00:00 AM,2063,0.689345,0.622640,
COLORECTAL,18909,27433,68.927900,21898,35173,62.257900,6564,6565,273,1,2/10/2017 12:00:00 AM,2063,0.689279,0.622579,
COLORECTAL,18889,27412,68.907700,21890,35178,62.226300,6564,6565,273,1,2/12/2017 12:00:00 AM,2063,0.689077,0.622263,
COLORECTAL,18916,27449,68.913200,21897,35187,62.230300,6564,6565,273,1,2/13/2017 12:00:00 AM,2063,0.689132,0.622303,
COLORECTAL,18945,27462,68.986200,21910,35166,62.304400,6564,6565,273,1,2/14/2017 12:00:00 AM,2063,0.689862,0.623044,
COLORECTAL,18944,27462,68.982500,21912,35173,62.297700,6564,6565,273,1,2/15/2017 12:00:00 AM,2063,0.689825,0.622977,
COLORECTAL,18946,27478,68.949700,21910,35176,62.286700,6564,6565,273,1,2/16/2017 12:00:00 AM,2063,0.689497,0.622867,
COLORECTAL,18937,27464,68.952000,21906,35177,62.273600,6564,6565,273,1,2/17/2017 12:00:00 AM,2063,0.689520,0.622736,
COLORECTAL,18918,27434,68.958200,21903,35186,62.249100,6564,6565,273,1,2/19/2017 12:00:00 AM,2063,0.689582,0.622491,
COLORECTAL,18937,27456,68.972100,21910,35187,62.267300,6564,6565,273,1,2/20/2017 12:00:00 AM,2063,0.689721,0.622673,
COLORECTAL,18942,27453,68.997900,21912,35192,62.264100,6564,6565,273,1,2/21/2017 12:00:00 AM,2063,0.689979,0.622641,
COLORECTAL,18935,27434,69.020100,21914,35172,62.305200,6564,6565,273,1,2/22/2017 12:00:00 AM,2063,0.690201,0.623052,
COLORECTAL,18935,27422,69.050300,21916,35170,62.314400,6564,6565,273,1,2/23/2017 12:00:00 AM,2063,0.690503,0.623144,
COLORECTAL,18944,27430,69.063000,21912,35159,62.322500,6564,6565,273,1,2/24/2017 12:00:00 AM,2063,0.690630,0.623225,
COLORECTAL,18907,27405,68.991000,21893,35164,62.259600,6564,6565,273,1,2/26/2017 12:00:00 AM,2063,0.689910,0.622596,
COLORECTAL,18927,27432,68.996000,21898,35163,62.275600,6564,6565,273,1,2/27/2017 12:00:00 AM,2063,0.689960,0.622756,
COLORECTAL,18926,27424,69.012500,21901,35159,62.291300,6564,6565,273,1,2/28/2017 12:00:00 AM,2063,0.690125,0.622913,
COLORECTAL,18925,27425,69.006300,21905,35165,62.292000,6564,6565,273,1,3/1/2017 12:00:00 AM,2063,0.690063,0.622920,
COLORECTAL,18923,27427,68.994000,21905,35160,62.300900,6564,6565,273,1,3/2/2017 12:00:00 AM,2063,0.689940,0.623009,
COLORECTAL,18915,27415,68.995000,21907,35161,62.304800,6564,6565,273,1,3/3/2017 12:00:00 AM,2063,0.689950,0.623048,
COLORECTAL,18895,27384,69.000100,21904,35168,62.283800,6564,6565,273,1,3/5/2017 12:00:00 AM,2063,0.690001,0.622838,
COLORECTAL,18910,27410,68.989400,21901,35169,62.273500,6564,6565,273,1,3/6/2017 12:00:00 AM,2063,0.689894,0.622735,
COLORECTAL,37878,54840,69.070000,43850,70373,62.310800,6564,6565,273,1,3/8/2017 12:00:00 AM,2063,0.690700,0.623108,
COLORECTAL,18955,27457,69.035200,21937,35222,62.282000,6564,6565,273,1,3/9/2017 12:00:00 AM,2063,0.690352,0.622820,
COLORECTAL,18984,27496,69.042700,21958,35213,62.357600,6564,6565,273,1,3/10/2017 12:00:00 AM,2063,0.690427,0.623576,
COLORECTAL,18981,27539,68.924000,21976,35291,62.270800,6564,6565,273,1,3/12/2017 12:00:00 AM,2063,0.689240,0.622708,
COLORECTAL,19013,27565,68.975100,21944,35136,62.454400,6564,6565,273,1,3/13/2017 12:00:00 AM,2063,0.689751,0.624544,
COLORECTAL,19038,27584,69.018200,21951,35113,62.515300,6564,6565,273,1,3/14/2017 12:00:00 AM,2063,0.690182,0.625153,
COLORECTAL,19049,27582,69.063100,21941,35048,62.602700,6564,6565,273,1,3/15/2017 12:00:00 AM,2063,0.690631,0.626027,
COLORECTAL,19053,27588,69.062600,21944,35046,62.614800,6564,6565,273,1,3/16/2017 12:00:00 AM,2063,0.690626,0.626148,
COLORECTAL,19060,27613,69.025400,21946,35063,62.590100,6564,6565,273,1,3/17/2017 12:00:00 AM,2063,0.690254,0.625901,
COLORECTAL,19048,27611,68.986900,21944,35080,62.554100,6564,6565,273,1,3/19/2017 12:00:00 AM,2063,0.689869,0.625541,
COLORECTAL,19118,27733,68.935900,22006,35192,62.531200,6564,6565,273,1,3/20/2017 12:00:00 AM,2063,0.689359,0.625312,
COLORECTAL,19132,27734,68.983900,22016,35189,62.565000,6564,6565,273,1,3/21/2017 12:00:00 AM,2063,0.689839,0.625650,
COLORECTAL,19120,27725,68.963000,22011,35167,62.589900,6564,6565,273,1,3/22/2017 12:00:00 AM,2063,0.689630,0.625899,
COLORECTAL,19120,27716,68.985400,22013,35165,62.599100,6564,6565,273,1,3/23/2017 12:00:00 AM,2063,0.689854,0.625991,
COLORECTAL,19126,27717,69.004500,22016,35152,62.630800,6564,6565,273,1,3/24/2017 12:00:00 AM,2063,0.690045,0.626308,
COLORECTAL,19110,27696,68.999100,22014,35156,62.618000,6564,6565,273,1,3/26/2017 12:00:00 AM,2063,0.689991,0.626180,
COLORECTAL,19132,27727,69.001300,22016,35159,62.618300,6564,6565,273,1,3/27/2017 12:00:00 AM,2063,0.690013,0.626183,
COLORECTAL,19136,27733,69.000800,22028,35163,62.645300,6564,6565,273,1,3/28/2017 12:00:00 AM,2063,0.690008,0.626453,
COLORECTAL,19145,27739,69.018300,22032,35157,62.667400,6564,6565,273,1,3/29/2017 12:00:00 AM,2063,0.690183,0.626674,
COLORECTAL,19148,27790,68.902400,22035,35191,62.615400,6564,6565,273,1,3/30/2017 12:00:00 AM,2063,0.689024,0.626154,
COLORECTAL,19148,27792,68.897500,22032,35182,62.622900,6564,6565,273,1,3/31/2017 12:00:00 AM,2063,0.688975,0.626229,
COLORECTAL,19124,27761,68.888000,22026,35183,62.604000,6564,6565,273,1,4/2/2017 12:00:00 AM,2063,0.688880,0.626040,
COLORECTAL,19144,27785,68.900400,22033,35160,62.664900,6564,6565,273,1,4/3/2017 12:00:00 AM,2063,0.689004,0.626649,
COLORECTAL,19152,27803,68.884600,22027,35123,62.713800,6564,6565,273,1,4/4/2017 12:00:00 AM,2063,0.688846,0.627138,
COLORECTAL,19160,27803,68.913400,22036,35086,62.805600,6564,6565,273,1,4/5/2017 12:00:00 AM,2063,0.689134,0.628056,
