metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom
COLORECTAL,2717,3644,74.5609,3127,4563,68.5294,6564,6565,273,1,12/5/2016 0:00,2063,0.745609,0.685294
COLORECTAL,2715,3642,74.5469,3126,4561,68.5376,6564,6565,273,1,12/6/2016 0:00,2063,0.745469,0.685376
COLORECTAL,2714,3645,74.4581,3128,4564,68.5363,6564,6565,273,1,12/7/2016 0:00,2063,0.744581,0.685363
COLORECTAL,2716,3647,74.4721,3128,4562,68.5664,6564,6565,273,1,12/8/2016 0:00,2063,0.744721,0.685664
COLORECTAL,5437,7300,74.4794,6256,9124,68.5664,6564,6565,273,1,12/9/2016 0:00,2063,0.744794,0.685664
COLORECTAL,2720,3652,74.4797,3128,4565,68.5213,6564,6565,273,1,12/11/2016 0:00,2063,0.744797,0.685213
COLORECTAL,2725,3657,74.5146,3129,4565,68.5432,6564,6565,273,1,12/12/2016 0:00,2063,0.745146,0.685432
COLORECTAL,2724,3654,74.5484,3132,4567,68.5789,6564,6565,273,1,12/13/2016 0:00,2063,0.745484,0.685789
COLORECTAL,2725,3653,74.5962,3132,4565,68.6089,6564,6565,273,1,12/14/2016 0:00,2063,0.745962,0.686089
COLORECTAL,2729,3657,74.624,3135,4568,68.6295,6564,6565,273,1,12/15/2016 0:00,2063,0.74624,0.686295
COLORECTAL,2732,3660,74.6448,3133,4561,68.691,6564,6565,273,1,12/16/2016 0:00,2063,0.746448,0.68691
COLORECTAL,2727,3654,74.6305,3131,4561,68.6472,6564,6565,273,1,12/18/2016 0:00,2063,0.746305,0.686472
COLORECTAL,2735,3663,74.6655,3133,4562,68.676,6564,6565,273,1,12/19/2016 0:00,2063,0.746655,0.68676
COLORECTAL,2736,3658,74.7949,3136,4561,68.7568,6564,6565,273,1,12/20/2016 0:00,2063,0.747949,0.687568
COLORECTAL,2741,3667,74.7477,3139,4565,68.7623,6564,6565,273,1,12/21/2016 0:00,2063,0.747477,0.687623
COLORECTAL,2745,3674,74.7142,3139,4566,68.7472,6564,6565,273,1,12/22/2016 0:00,2063,0.747142,0.687472
COLORECTAL,2745,3674,74.7142,3139,4567,68.7322,6564,6565,273,1,12/23/2016 0:00,2063,0.747142,0.687322
COLORECTAL,2744,3674,74.6869,3138,4567,68.7103,6564,6565,273,1,12/25/2016 0:00,2063,0.746869,0.687103
COLORECTAL,2744,3675,74.6666,3138,4568,68.6952,6564,6565,273,1,12/26/2016 0:00,2063,0.746666,0.686952
COLORECTAL,2747,3677,74.7076,3140,4567,68.7541,6564,6565,273,1,12/27/2016 0:00,2063,0.747076,0.687541
COLORECTAL,2747,3678,74.6873,3140,4568,68.739,6564,6565,273,1,12/28/2016 0:00,2063,0.746873,0.68739
COLORECTAL,2747,3679,74.667,3135,4566,68.6596,6564,6565,273,1,12/29/2016 0:00,2063,0.74667,0.686596
COLORECTAL,2746,3679,74.6398,3134,4567,68.6227,6564,6565,273,1,12/30/2016 0:00,2063,0.746398,0.686227
COLORECTAL,2746,3680,74.6195,3133,4569,68.5708,6564,6565,273,1,1/1/2017 0:00,2063,0.746195,0.685708
COLORECTAL,2746,3681,74.5992,3133,4570,68.5557,6564,6565,273,1,1/2/2017 0:00,2063,0.745992,0.685557
COLORECTAL,2746,3681,74.5992,3134,4573,68.5326,6564,6565,273,1,1/3/2017 0:00,2063,0.745992,0.685326
COLORECTAL,2747,3679,74.667,3137,4574,68.5832,6564,6565,273,1,1/4/2017 0:00,2063,0.74667,0.685832
COLORECTAL,2747,3679,74.667,3137,4576,68.5533,6564,6565,273,1,1/5/2017 0:00,2063,0.74667,0.685533
COLORECTAL,2750,3681,74.7079,3140,4579,68.5739,6564,6565,273,1,1/6/2017 0:00,2063,0.747079,0.685739
COLORECTAL,2746,3679,74.6398,3138,4580,68.5152,6564,6565,273,1,1/8/2017 0:00,2063,0.746398,0.685152
COLORECTAL,2753,3689,74.6272,3137,4582,68.4635,6564,6565,273,1,1/9/2017 0:00,2063,0.746272,0.684635
COLORECTAL,2747,3684,74.5656,3137,4584,68.4336,6564,6565,273,1,1/10/2017 0:00,2063,0.745656,0.684336
COLORECTAL,2742,3681,74.4906,3137,4585,68.4187,6564,6565,273,1,1/11/2017 0:00,2063,0.744906,0.684187
COLORECTAL,2737,3676,74.4559,3137,4587,68.3889,6564,6565,273,1,1/12/2017 0:00,2063,0.744559,0.683889
COLORECTAL,2735,3673,74.4622,3135,4589,68.3155,6564,6565,273,1,1/13/2017 0:00,2063,0.744622,0.683155
COLORECTAL,2732,3671,74.4211,3131,4588,68.2432,6564,6565,273,1,1/15/2017 0:00,2063,0.744211,0.682432
COLORECTAL,2732,3676,74.3199,3129,4590,68.1699,6564,6565,273,1,1/16/2017 0:00,2063,0.743199,0.681699
COLORECTAL,2733,3683,74.2058,3130,4594,68.1323,6564,6565,273,1,1/17/2017 0:00,2063,0.742058,0.681323
COLORECTAL,2734,3684,74.2128,3130,4597,68.0878,6564,6565,273,1,1/18/2017 0:00,2063,0.742128,0.680878
COLORECTAL,2739,3688,74.2678,3132,4600,68.0869,6564,6565,273,1,1/19/2017 0:00,2063,0.742678,0.680869
COLORECTAL,2737,3689,74.1935,3132,4599,68.1017,6564,6565,273,1,1/20/2017 0:00,2063,0.741935,0.681017
COLORECTAL,2736,3687,74.2066,3133,4599,68.1235,6564,6565,273,1,1/22/2017 0:00,2063,0.742066,0.681235
COLORECTAL,2739,3695,74.1271,3133,4601,68.0938,6564,6565,273,1,1/23/2017 0:00,2063,0.741271,0.680938
COLORECTAL,2746,3701,74.1961,3140,4603,68.2163,6564,6565,273,1,1/24/2017 0:00,2063,0.741961,0.682163
COLORECTAL,2744,3699,74.1822,3140,4603,68.2163,6564,6565,273,1,1/25/2017 0:00,2063,0.741822,0.682163
COLORECTAL,2743,3699,74.1551,3141,4602,68.2529,6564,6565,273,1,1/26/2017 0:00,2063,0.741551,0.682529
COLORECTAL,2745,3702,74.1491,3141,4603,68.2381,6564,6565,273,1,1/27/2017 0:00,2063,0.741491,0.682381
COLORECTAL,2737,3696,74.053,3136,4603,68.1294,6564,6565,273,1,1/29/2017 0:00,2063,0.74053,0.681294
COLORECTAL,2742,3700,74.1081,3140,4605,68.1867,6564,6565,273,1,1/30/2017 0:00,2063,0.741081,0.681867
COLORECTAL,2742,3703,74.048,3141,4607,68.1788,6564,6565,273,1,1/31/2017 0:00,2063,0.74048,0.681788
COLORECTAL,2745,3704,74.109,3146,4606,68.3022,6564,6565,273,1,2/1/2017 0:00,2063,0.74109,0.683022
COLORECTAL,2751,3708,74.1909,3150,4606,68.389,6564,6565,273,1,2/2/2017 0:00,2063,0.741909,0.68389
COLORECTAL,2754,3710,74.2318,3154,4607,68.461,6564,6565,273,1,2/3/2017 0:00,2063,0.742318,0.68461
COLORECTAL,2748,3706,74.15,3149,4605,68.3821,6564,6565,273,1,2/5/2017 0:00,2063,0.7415,0.683821
COLORECTAL,2748,3706,74.15,3149,4605,68.3821,6564,6565,273,1,2/6/2017 0:00,2063,0.7415,0.683821
COLORECTAL,2747,3706,74.123,3149,4605,68.3821,6564,6565,273,1,2/7/2017 0:00,2063,0.74123,0.683821
COLORECTAL,2750,3706,74.2039,3153,4608,68.4244,6564,6565,273,1,2/8/2017 0:00,2063,0.742039,0.684244
COLORECTAL,2745,3697,74.2493,3155,4608,68.4678,6564,6565,273,1,2/9/2017 0:00,2063,0.742493,0.684678
COLORECTAL,2747,3701,74.2231,3155,4608,68.4678,6564,6565,273,1,2/10/2017 0:00,2063,0.742231,0.684678
COLORECTAL,2744,3703,74.102,3153,4611,68.3799,6564,6565,273,1,2/12/2017 0:00,2063,0.74102,0.683799
COLORECTAL,2746,3708,74.056,3153,4613,68.3503,6564,6565,273,1,2/13/2017 0:00,2063,0.74056,0.683503
COLORECTAL,2751,3716,74.0312,3152,4610,68.3731,6564,6565,273,1,2/14/2017 0:00,2063,0.740312,0.683731
COLORECTAL,2750,3714,74.0441,3152,4609,68.3879,6564,6565,273,1,2/15/2017 0:00,2063,0.740441,0.683879
COLORECTAL,2754,3720,74.0322,3152,4612,68.3434,6564,6565,273,1,2/16/2017 0:00,2063,0.740322,0.683434
COLORECTAL,2754,3721,74.0123,3151,4612,68.3217,6564,6565,273,1,2/17/2017 0:00,2063,0.740123,0.683217
COLORECTAL,2751,3718,73.9913,3149,4612,68.2784,6564,6565,273,1,2/19/2017 0:00,2063,0.739913,0.682784
COLORECTAL,2755,3723,73.9994,3150,4613,68.2852,6564,6565,273,1,2/20/2017 0:00,2063,0.739994,0.682852
COLORECTAL,2757,3720,74.1129,3153,4612,68.3651,6564,6565,273,1,2/21/2017 0:00,2063,0.741129,0.683651
COLORECTAL,2757,3718,74.1527,3154,4608,68.4461,6564,6565,273,1,2/22/2017 0:00,2063,0.741527,0.684461
COLORECTAL,2756,3712,74.2456,3154,4609,68.4313,6564,6565,273,1,2/23/2017 0:00,2063,0.742456,0.684313
COLORECTAL,2760,3715,74.2934,3157,4611,68.4667,6564,6565,273,1,2/24/2017 0:00,2063,0.742934,0.684667
COLORECTAL,2758,3713,74.2795,3156,4612,68.4301,6564,6565,273,1,2/26/2017 0:00,2063,0.742795,0.684301
COLORECTAL,2762,3721,74.2273,3157,4614,68.4221,6564,6565,273,1,2/27/2017 0:00,2063,0.742273,0.684221
COLORECTAL,2763,3725,74.1744,3159,4617,68.421,6564,6565,273,1,2/28/2017 0:00,2063,0.741744,0.68421
COLORECTAL,2761,3726,74.1009,3159,4616,68.4358,6564,6565,273,1,3/1/2017 0:00,2063,0.741009,0.684358
