metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom
COLORECTAL,1228,2114,58.0889,1382,2780,49.7122,6564,6565,273,1,12/5/2016 0:00,2063,0.580889,0.497122
COLORECTAL,1227,2112,58.0965,1382,2780,49.7122,6564,6565,273,1,12/6/2016 0:00,2063,0.580965,0.497122
COLORECTAL,1228,2112,58.1439,1385,2783,49.7664,6564,6565,273,1,12/7/2016 0:00,2063,0.581439,0.497664
COLORECTAL,1232,2113,58.3057,1387,2782,49.8562,6564,6565,273,1,12/8/2016 0:00,2063,0.583057,0.498562
COLORECTAL,2464,4225,58.3195,2776,5565,49.8831,6564,6565,273,1,12/9/2016 0:00,2063,0.583195,0.498831
COLORECTAL,1230,2108,58.3491,1389,2783,49.9101,6564,6565,273,1,12/11/2016 0:00,2063,0.583491,0.499101
COLORECTAL,1232,2111,58.3609,1390,2783,49.9461,6564,6565,273,1,12/12/2016 0:00,2063,0.583609,0.499461
COLORECTAL,1233,2115,58.2978,1390,2785,49.9102,6564,6565,273,1,12/13/2016 0:00,2063,0.582978,0.499102
COLORECTAL,1236,2116,58.412,1391,2785,49.9461,6564,6565,273,1,12/14/2016 0:00,2063,0.58412,0.499461
COLORECTAL,1237,2118,58.4041,1390,2784,49.9281,6564,6565,273,1,12/15/2016 0:00,2063,0.584041,0.499281
COLORECTAL,1237,2117,58.4317,1390,2783,49.9461,6564,6565,273,1,12/16/2016 0:00,2063,0.584317,0.499461
COLORECTAL,1232,2109,58.4163,1390,2783,49.9461,6564,6565,273,1,12/18/2016 0:00,2063,0.584163,0.499461
COLORECTAL,1232,2110,58.3886,1389,2784,49.8922,6564,6565,273,1,12/19/2016 0:00,2063,0.583886,0.498922
COLORECTAL,1232,2109,58.4163,1390,2784,49.9281,6564,6565,273,1,12/20/2016 0:00,2063,0.584163,0.499281
COLORECTAL,1236,2109,58.6059,1393,2785,50.0179,6564,6565,273,1,12/21/2016 0:00,2063,0.586059,0.500179
COLORECTAL,1235,2110,58.5308,1392,2784,50,6564,6565,273,1,12/22/2016 0:00,2063,0.585308,0.5
COLORECTAL,1235,2110,58.5308,1391,2783,49.982,6564,6565,273,1,12/23/2016 0:00,2063,0.585308,0.49982
COLORECTAL,1236,2111,58.5504,1392,2784,50,6564,6565,273,1,12/25/2016 0:00,2063,0.585504,0.5
COLORECTAL,1235,2111,58.503,1391,2784,49.964,6564,6565,273,1,12/26/2016 0:00,2063,0.58503,0.49964
COLORECTAL,1235,2111,58.503,1391,2784,49.964,6564,6565,273,1,12/27/2016 0:00,2063,0.58503,0.49964
COLORECTAL,1238,2111,58.6451,1393,2785,50.0179,6564,6565,273,1,12/28/2016 0:00,2063,0.586451,0.500179
COLORECTAL,1235,2116,58.3648,1387,2785,49.8025,6564,6565,273,1,12/29/2016 0:00,2063,0.583648,0.498025
COLORECTAL,1236,2117,58.3845,1387,2785,49.8025,6564,6565,273,1,12/30/2016 0:00,2063,0.583845,0.498025
COLORECTAL,1235,2116,58.3648,1386,2784,49.7844,6564,6565,273,1,1/1/2017 0:00,2063,0.583648,0.497844
COLORECTAL,1234,2116,58.3175,1385,2784,49.7485,6564,6565,273,1,1/2/2017 0:00,2063,0.583175,0.497485
COLORECTAL,1234,2116,58.3175,1385,2786,49.7128,6564,6565,273,1,1/3/2017 0:00,2063,0.583175,0.497128
COLORECTAL,1234,2116,58.3175,1385,2786,49.7128,6564,6565,273,1,1/4/2017 0:00,2063,0.583175,0.497128
COLORECTAL,1233,2113,58.353,1383,2784,49.6767,6564,6565,273,1,1/5/2017 0:00,2063,0.58353,0.496767
COLORECTAL,1232,2111,58.3609,1382,2781,49.6943,6564,6565,273,1,1/6/2017 0:00,2063,0.583609,0.496943
COLORECTAL,1233,2111,58.4083,1383,2781,49.7303,6564,6565,273,1,1/8/2017 0:00,2063,0.584083,0.497303
COLORECTAL,1232,2110,58.3886,1381,2779,49.6941,6564,6565,273,1,1/9/2017 0:00,2063,0.583886,0.496941
COLORECTAL,1234,2106,58.5944,1381,2775,49.7657,6564,6565,273,1,1/10/2017 0:00,2063,0.585944,0.497657
COLORECTAL,1236,2107,58.6616,1384,2776,49.8559,6564,6565,273,1,1/11/2017 0:00,2063,0.586616,0.498559
COLORECTAL,1239,2112,58.6647,1384,2774,49.8918,6564,6565,273,1,1/12/2017 0:00,2063,0.586647,0.498918
COLORECTAL,1236,2111,58.5504,1381,2773,49.8016,6564,6565,273,1,1/13/2017 0:00,2063,0.585504,0.498016
COLORECTAL,1235,2108,58.5863,1381,2773,49.8016,6564,6565,273,1,1/15/2017 0:00,2063,0.585863,0.498016
COLORECTAL,1235,2108,58.5863,1381,2775,49.7657,6564,6565,273,1,1/16/2017 0:00,2063,0.585863,0.497657
COLORECTAL,1236,2104,58.7452,1383,2775,49.8378,6564,6565,273,1,1/17/2017 0:00,2063,0.587452,0.498378
COLORECTAL,1234,2101,58.7339,1383,2774,49.8558,6564,6565,273,1,1/18/2017 0:00,2063,0.587339,0.498558
COLORECTAL,1234,2100,58.7619,1383,2774,49.8558,6564,6565,273,1,1/19/2017 0:00,2063,0.587619,0.498558
COLORECTAL,1234,2101,58.7339,1383,2775,49.8378,6564,6565,273,1,1/20/2017 0:00,2063,0.587339,0.498378
COLORECTAL,1232,2099,58.6946,1381,2773,49.8016,6564,6565,273,1,1/22/2017 0:00,2063,0.586946,0.498016
COLORECTAL,1234,2104,58.6501,1383,2774,49.8558,6564,6565,273,1,1/23/2017 0:00,2063,0.586501,0.498558
COLORECTAL,1236,2106,58.6894,1383,2774,49.8558,6564,6565,273,1,1/24/2017 0:00,2063,0.586894,0.498558
COLORECTAL,1237,2104,58.7927,1386,2778,49.892,6564,6565,273,1,1/25/2017 0:00,2063,0.587927,0.49892
COLORECTAL,1237,2107,58.709,1386,2777,49.9099,6564,6565,273,1,1/26/2017 0:00,2063,0.58709,0.499099
COLORECTAL,1238,2109,58.7008,1387,2778,49.928,6564,6565,273,1,1/27/2017 0:00,2063,0.587008,0.49928
COLORECTAL,1234,2106,58.5944,1383,2777,49.8019,6564,6565,273,1,1/29/2017 0:00,2063,0.585944,0.498019
COLORECTAL,1234,2105,58.6223,1383,2775,49.8378,6564,6565,273,1,1/30/2017 0:00,2063,0.586223,0.498378
COLORECTAL,1235,2106,58.6419,1384,2777,49.8379,6564,6565,273,1,1/31/2017 0:00,2063,0.586419,0.498379
COLORECTAL,1234,2108,58.5388,1386,2779,49.874,6564,6565,273,1,2/1/2017 0:00,2063,0.585388,0.49874
COLORECTAL,1235,2107,58.6141,1387,2777,49.9459,6564,6565,273,1,2/2/2017 0:00,2063,0.586141,0.499459
COLORECTAL,1233,2109,58.4637,1387,2780,49.892,6564,6565,273,1,2/3/2017 0:00,2063,0.584637,0.49892
COLORECTAL,1232,2108,58.444,1386,2781,49.8381,6564,6565,273,1,2/5/2017 0:00,2063,0.58444,0.498381
COLORECTAL,1232,2111,58.3609,1386,2781,49.8381,6564,6565,273,1,2/6/2017 0:00,2063,0.583609,0.498381
COLORECTAL,1234,2111,58.4557,1388,2781,49.9101,6564,6565,273,1,2/7/2017 0:00,2063,0.584557,0.499101
COLORECTAL,1233,2112,58.3806,1387,2781,49.8741,6564,6565,273,1,2/8/2017 0:00,2063,0.583806,0.498741
COLORECTAL,1233,2112,58.3806,1389,2785,49.8743,6564,6565,273,1,2/9/2017 0:00,2063,0.583806,0.498743
COLORECTAL,1234,2113,58.4003,1388,2779,49.946,6564,6565,273,1,2/10/2017 0:00,2063,0.584003,0.49946
COLORECTAL,1233,2112,58.3806,1387,2778,49.928,6564,6565,273,1,2/12/2017 0:00,2063,0.583806,0.49928
COLORECTAL,1234,2113,58.4003,1386,2778,49.892,6564,6565,273,1,2/13/2017 0:00,2063,0.584003,0.49892
COLORECTAL,1236,2117,58.3845,1386,2778,49.892,6564,6565,273,1,2/14/2017 0:00,2063,0.583845,0.49892
COLORECTAL,1240,2119,58.5181,1390,2779,50.0179,6564,6565,273,1,2/15/2017 0:00,2063,0.585181,0.500179
COLORECTAL,1240,2121,58.4629,1388,2775,50.018,6564,6565,273,1,2/16/2017 0:00,2063,0.584629,0.50018
COLORECTAL,1241,2126,58.3725,1388,2776,50,6564,6565,273,1,2/17/2017 0:00,2063,0.583725,0.5
COLORECTAL,1240,2123,58.4079,1388,2776,50,6564,6565,273,1,2/19/2017 0:00,2063,0.584079,0.5
COLORECTAL,1241,2124,58.4274,1390,2780,50,6564,6565,273,1,2/20/2017 0:00,2063,0.584274,0.5
COLORECTAL,1243,2126,58.4666,1391,2782,50,6564,6565,273,1,2/21/2017 0:00,2063,0.584666,0.5
COLORECTAL,1245,2126,58.5606,1392,2777,50.126,6564,6565,273,1,2/22/2017 0:00,2063,0.585606,0.50126
COLORECTAL,1245,2126,58.5606,1392,2778,50.1079,6564,6565,273,1,2/23/2017 0:00,2063,0.585606,0.501079
COLORECTAL,1246,2125,58.6352,1387,2767,50.1264,6564,6565,273,1,2/24/2017 0:00,2063,0.586352,0.501264
COLORECTAL,1245,2123,58.6434,1386,2767,50.0903,6564,6565,273,1,2/26/2017 0:00,2063,0.586434,0.500903
COLORECTAL,1244,2123,58.5963,1385,2770,50,6564,6565,273,1,2/27/2017 0:00,2063,0.585963,0.5
COLORECTAL,1244,2123,58.5963,1384,2760,50.1449,6564,6565,273,1,2/28/2017 0:00,2063,0.585963,0.501449
COLORECTAL,1243,2119,58.6597,1384,2758,50.1812,6564,6565,273,1,3/1/2017 0:00,2063,0.586597,0.501812
COLORECTAL,1244,2121,58.6515,1383,2755,50.1996,6564,6565,273,1,3/2/2017 0:00,2063,0.586515,0.501996
COLORECTAL,1242,2117,58.6679,1383,2755,50.1996,6564,6565,273,1,3/3/2017 0:00,2063,0.586679,0.501996
COLORECTAL,1238,2113,58.5896,1381,2753,50.1634,6564,6565,273,1,3/5/2017 0:00,2063,0.585896,0.501634
COLORECTAL,1238,2113,58.5896,1381,2752,50.1816,6564,6565,273,1,3/6/2017 0:00,2063,0.585896,0.501816
COLORECTAL,2476,4224,58.6174,2766,5505,50.2452,6564,6565,273,1,3/8/2017 0:00,2063,0.586174,0.502452
COLORECTAL,1240,2115,58.6288,1385,2754,50.2904,6564,6565,273,1,3/9/2017 0:00,2063,0.586288,0.502904
COLORECTAL,1240,2116,58.6011,1386,2755,50.3085,6564,6565,273,1,3/10/2017 0:00,2063,0.586011,0.503085
COLORECTAL,1237,2113,58.5423,1385,2755,50.2722,6564,6565,273,1,3/12/2017 0:00,2063,0.585423,0.502722
