metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom
COLORECTAL,1782,3163,56.3389,2065,4123,50.0848,6564,6565,273,1,12/5/2016 0:00,2063,0.563389,0.500848
COLORECTAL,1790,3167,56.5203,2073,4126,50.2423,6564,6565,273,1,12/6/2016 0:00,2063,0.565203,0.502423
COLORECTAL,1789,3167,56.4887,2076,4128,50.2906,6564,6565,273,1,12/7/2016 0:00,2063,0.564887,0.502906
COLORECTAL,1791,3168,56.534,2078,4130,50.3147,6564,6565,273,1,12/8/2016 0:00,2063,0.56534,0.503147
COLORECTAL,3585,6337,56.5725,4159,8257,50.3693,6564,6565,273,1,12/9/2016 0:00,2063,0.565725,0.503693
COLORECTAL,1790,3165,56.556,2080,4127,50.3998,6564,6565,273,1,12/11/2016 0:00,2063,0.56556,0.503998
COLORECTAL,1790,3167,56.5203,2079,4127,50.3755,6564,6565,273,1,12/12/2016 0:00,2063,0.565203,0.503755
COLORECTAL,1790,3168,56.5025,2078,4127,50.3513,6564,6565,273,1,12/13/2016 0:00,2063,0.565025,0.503513
COLORECTAL,1795,3167,56.6782,2082,4121,50.5217,6564,6565,273,1,12/14/2016 0:00,2063,0.566782,0.505217
COLORECTAL,1797,3172,56.6519,2086,4126,50.5574,6564,6565,273,1,12/15/2016 0:00,2063,0.566519,0.505574
COLORECTAL,1806,3177,56.846,2092,4128,50.6782,6564,6565,273,1,12/16/2016 0:00,2063,0.56846,0.506782
COLORECTAL,1803,3176,56.7695,2091,4130,50.6295,6564,6565,273,1,12/18/2016 0:00,2063,0.567695,0.506295
COLORECTAL,1808,3182,56.8196,2094,4131,50.6899,6564,6565,273,1,12/19/2016 0:00,2063,0.568196,0.506899
COLORECTAL,1812,3185,56.8916,2099,4133,50.7863,6564,6565,273,1,12/20/2016 0:00,2063,0.568916,0.507863
COLORECTAL,1819,3190,57.0219,2103,4135,50.8585,6564,6565,273,1,12/21/2016 0:00,2063,0.570219,0.508585
COLORECTAL,1817,3183,57.0845,2103,4136,50.8462,6564,6565,273,1,12/22/2016 0:00,2063,0.570845,0.508462
COLORECTAL,1816,3181,57.0889,2103,4137,50.8339,6564,6565,273,1,12/23/2016 0:00,2063,0.570889,0.508339
COLORECTAL,1816,3181,57.0889,2103,4137,50.8339,6564,6565,273,1,12/25/2016 0:00,2063,0.570889,0.508339
COLORECTAL,1817,3181,57.1204,2104,4137,50.8581,6564,6565,273,1,12/26/2016 0:00,2063,0.571204,0.508581
COLORECTAL,1819,3180,57.2012,2106,4139,50.8818,6564,6565,273,1,12/27/2016 0:00,2063,0.572012,0.508818
COLORECTAL,1824,3187,57.2325,2109,4138,50.9666,6564,6565,273,1,12/28/2016 0:00,2063,0.572325,0.509666
COLORECTAL,1820,3188,57.089,2104,4140,50.8212,6564,6565,273,1,12/29/2016 0:00,2063,0.57089,0.508212
COLORECTAL,1895,3307,57.3026,2181,4268,51.1012,6564,6565,273,1,12/30/2016 0:00,2063,0.573026,0.511012
COLORECTAL,1897,3311,57.2938,2183,4274,51.0762,6564,6565,273,1,1/1/2017 0:00,2063,0.572938,0.510762
COLORECTAL,1905,3329,57.2243,2191,4294,51.0246,6564,6565,273,1,1/2/2017 0:00,2063,0.572243,0.510246
COLORECTAL,1924,3355,57.3472,2215,4324,51.2257,6564,6565,273,1,1/3/2017 0:00,2063,0.573472,0.512257
COLORECTAL,1969,3437,57.2883,2262,4422,51.1533,6564,6565,273,1,1/4/2017 0:00,2063,0.572883,0.511533
COLORECTAL,1977,3451,57.2877,2271,4440,51.1486,6564,6565,273,1,1/5/2017 0:00,2063,0.572877,0.511486
COLORECTAL,2009,3495,57.4821,2304,4487,51.3483,6564,6565,273,1,1/6/2017 0:00,2063,0.574821,0.513483
COLORECTAL,2033,3531,57.5757,2330,4528,51.4575,6564,6565,273,1,1/8/2017 0:00,2063,0.575757,0.514575
COLORECTAL,2062,3569,57.7752,2358,4565,51.6538,6564,6565,273,1,1/9/2017 0:00,2063,0.577752,0.516538
COLORECTAL,2099,3626,57.8874,2395,4626,51.7725,6564,6565,273,1,1/10/2017 0:00,2063,0.578874,0.517725
COLORECTAL,2138,3680,58.0978,2436,4695,51.8849,6564,6565,273,1,1/11/2017 0:00,2063,0.580978,0.518849
COLORECTAL,2144,3689,58.1187,2439,4709,51.7944,6564,6565,273,1,1/12/2017 0:00,2063,0.581187,0.517944
