metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom
COLORECTAL,2848,3674,77.5176,3309,4611,71.7631,6564,6565,273,1,12/5/2016 0:00,2063,0.775176,0.717631
COLORECTAL,2849,3675,77.5238,3312,4613,71.797,6564,6565,273,1,12/6/2016 0:00,2063,0.775238,0.71797
COLORECTAL,2845,3673,77.4571,3311,4614,71.7598,6564,6565,273,1,12/7/2016 0:00,2063,0.774571,0.717598
COLORECTAL,2842,3671,77.4175,3308,4614,71.6948,6564,6565,273,1,12/8/2016 0:00,2063,0.774175,0.716948
COLORECTAL,5680,7342,77.3631,6615,9229,71.6762,6564,6565,273,1,12/9/2016 0:00,2063,0.773631,0.716762
COLORECTAL,2831,3666,77.2231,3303,4617,71.5399,6564,6565,273,1,12/11/2016 0:00,2063,0.772231,0.715399
COLORECTAL,2832,3668,77.2082,3301,4617,71.4966,6564,6565,273,1,12/12/2016 0:00,2063,0.772082,0.714966
COLORECTAL,2833,3666,77.2776,3303,4616,71.5554,6564,6565,273,1,12/13/2016 0:00,2063,0.772776,0.715554
COLORECTAL,2836,3662,77.444,3309,4616,71.6854,6564,6565,273,1,12/14/2016 0:00,2063,0.77444,0.716854
COLORECTAL,2838,3664,77.4563,3310,4618,71.676,6564,6565,273,1,12/15/2016 0:00,2063,0.774563,0.71676
COLORECTAL,2839,3663,77.5047,3310,4618,71.676,6564,6565,273,1,12/16/2016 0:00,2063,0.775047,0.71676
COLORECTAL,2836,3663,77.4228,3309,4622,71.5923,6564,6565,273,1,12/18/2016 0:00,2063,0.774228,0.715923
COLORECTAL,2835,3666,77.3322,3306,4621,71.5429,6564,6565,273,1,12/19/2016 0:00,2063,0.773322,0.715429
COLORECTAL,2836,3670,77.2752,3305,4621,71.5213,6564,6565,273,1,12/20/2016 0:00,2063,0.772752,0.715213
COLORECTAL,2831,3667,77.202,3304,4622,71.4842,6564,6565,273,1,12/21/2016 0:00,2063,0.77202,0.714842
COLORECTAL,2831,3667,77.202,3304,4621,71.4996,6564,6565,273,1,12/22/2016 0:00,2063,0.77202,0.714996
COLORECTAL,2833,3669,77.2144,3304,4621,71.4996,6564,6565,273,1,12/23/2016 0:00,2063,0.772144,0.714996
COLORECTAL,2832,3668,77.2082,3303,4619,71.5089,6564,6565,273,1,12/25/2016 0:00,2063,0.772082,0.715089
COLORECTAL,2832,3669,77.1872,3303,4620,71.4935,6564,6565,273,1,12/26/2016 0:00,2063,0.771872,0.714935
COLORECTAL,2833,3667,77.2566,3304,4620,71.5151,6564,6565,273,1,12/27/2016 0:00,2063,0.772566,0.715151
COLORECTAL,2835,3665,77.3533,3306,4621,71.5429,6564,6565,273,1,12/28/2016 0:00,2063,0.773533,0.715429
COLORECTAL,2836,3670,77.2752,3301,4613,71.5586,6564,6565,273,1,12/29/2016 0:00,2063,0.772752,0.715586
COLORECTAL,2837,3673,77.2393,3302,4615,71.5492,6564,6565,273,1,12/30/2016 0:00,2063,0.772393,0.715492
COLORECTAL,2837,3673,77.2393,3302,4615,71.5492,6564,6565,273,1,1/1/2017 0:00,2063,0.772393,0.715492
COLORECTAL,2837,3673,77.2393,3302,4615,71.5492,6564,6565,273,1,1/2/2017 0:00,2063,0.772393,0.715492
COLORECTAL,2838,3675,77.2244,3301,4616,71.5121,6564,6565,273,1,1/3/2017 0:00,2063,0.772244,0.715121
COLORECTAL,2835,3671,77.2269,3302,4617,71.5183,6564,6565,273,1,1/4/2017 0:00,2063,0.772269,0.715183
COLORECTAL,2835,3672,77.2058,3305,4620,71.5367,6564,6565,273,1,1/5/2017 0:00,2063,0.772058,0.715367
COLORECTAL,2838,3677,77.1824,3308,4621,71.5862,6564,6565,273,1,1/6/2017 0:00,2063,0.771824,0.715862
COLORECTAL,2835,3673,77.1848,3307,4621,71.5645,6564,6565,273,1,1/8/2017 0:00,2063,0.771848,0.715645
COLORECTAL,2840,3679,77.1948,3305,4619,71.5522,6564,6565,273,1,1/9/2017 0:00,2063,0.771948,0.715522
COLORECTAL,2838,3677,77.1824,3303,4618,71.5244,6564,6565,273,1,1/10/2017 0:00,2063,0.771824,0.715244
COLORECTAL,2838,3676,77.2034,3303,4617,71.5399,6564,6565,273,1,1/11/2017 0:00,2063,0.772034,0.715399
COLORECTAL,2841,3678,77.243,3304,4615,71.5926,6564,6565,273,1,1/12/2017 0:00,2063,0.77243,0.715926
COLORECTAL,2843,3678,77.2974,3306,4615,71.6359,6564,6565,273,1,1/13/2017 0:00,2063,0.772974,0.716359
COLORECTAL,2838,3674,77.2455,3305,4616,71.5987,6564,6565,273,1,1/15/2017 0:00,2063,0.772455,0.715987
COLORECTAL,2839,3677,77.2096,3304,4616,71.5771,6564,6565,273,1,1/16/2017 0:00,2063,0.772096,0.715771
COLORECTAL,2843,3679,77.2764,3306,4615,71.6359,6564,6565,273,1,1/17/2017 0:00,2063,0.772764,0.716359
COLORECTAL,2847,3678,77.4061,3309,4616,71.6854,6564,6565,273,1,1/18/2017 0:00,2063,0.774061,0.716854
COLORECTAL,2850,3682,77.4035,3313,4618,71.741,6564,6565,273,1,1/19/2017 0:00,2063,0.774035,0.71741
COLORECTAL,2852,3683,77.4368,3314,4618,71.7626,6564,6565,273,1,1/20/2017 0:00,2063,0.774368,0.717626
COLORECTAL,2852,3680,77.5,3315,4619,71.7687,6564,6565,273,1,1/22/2017 0:00,2063,0.775,0.717687
COLORECTAL,2852,3681,77.4789,3316,4619,71.7904,6564,6565,273,1,1/23/2017 0:00,2063,0.774789,0.717904
COLORECTAL,2853,3682,77.485,3317,4619,71.812,6564,6565,273,1,1/24/2017 0:00,2063,0.77485,0.71812
COLORECTAL,2853,3686,77.4009,3317,4621,71.7809,6564,6565,273,1,1/25/2017 0:00,2063,0.774009,0.717809
COLORECTAL,2848,3678,77.4333,3320,4622,71.8303,6564,6565,273,1,1/26/2017 0:00,2063,0.774333,0.718303
COLORECTAL,2845,3676,77.3939,3315,4615,71.8309,6564,6565,273,1,1/27/2017 0:00,2063,0.773939,0.718309
COLORECTAL,2842,3676,77.3122,3313,4615,71.7876,6564,6565,273,1,1/29/2017 0:00,2063,0.773122,0.717876
COLORECTAL,2848,3683,77.3282,3315,4616,71.8154,6564,6565,273,1,1/30/2017 0:00,2063,0.773282,0.718154
COLORECTAL,2853,3690,77.317,3319,4617,71.8865,6564,6565,273,1,1/31/2017 0:00,2063,0.77317,0.718865
COLORECTAL,2852,3688,77.3318,3321,4617,71.9298,6564,6565,273,1,2/1/2017 0:00,2063,0.773318,0.719298
COLORECTAL,2851,3689,77.2838,3321,4617,71.9298,6564,6565,273,1,2/2/2017 0:00,2063,0.772838,0.719298
COLORECTAL,2848,3687,77.2443,3318,4615,71.8959,6564,6565,273,1,2/3/2017 0:00,2063,0.772443,0.718959
COLORECTAL,2845,3684,77.2258,3318,4615,71.8959,6564,6565,273,1,2/5/2017 0:00,2063,0.772258,0.718959
COLORECTAL,2844,3685,77.1777,3316,4615,71.8526,6564,6565,273,1,2/6/2017 0:00,2063,0.771777,0.718526
COLORECTAL,2844,3685,77.1777,3318,4617,71.8648,6564,6565,273,1,2/7/2017 0:00,2063,0.771777,0.718648
COLORECTAL,2844,3683,77.2196,3320,4617,71.9081,6564,6565,273,1,2/8/2017 0:00,2063,0.772196,0.719081
COLORECTAL,2849,3686,77.2924,3323,4618,71.9575,6564,6565,273,1,2/9/2017 0:00,2063,0.772924,0.719575
COLORECTAL,2850,3686,77.3195,3324,4618,71.9792,6564,6565,273,1,2/10/2017 0:00,2063,0.773195,0.719792
COLORECTAL,2845,3679,77.3307,3322,4618,71.9359,6564,6565,273,1,2/12/2017 0:00,2063,0.773307,0.719359
COLORECTAL,2849,3683,77.3554,3324,4619,71.9636,6564,6565,273,1,2/13/2017 0:00,2063,0.773554,0.719636
COLORECTAL,2850,3685,77.3405,3324,4620,71.948,6564,6565,273,1,2/14/2017 0:00,2063,0.773405,0.71948
COLORECTAL,2853,3687,77.3799,3325,4622,71.9385,6564,6565,273,1,2/15/2017 0:00,2063,0.773799,0.719385
COLORECTAL,2853,3689,77.338,3326,4622,71.9601,6564,6565,273,1,2/16/2017 0:00,2063,0.77338,0.719601
COLORECTAL,2852,3688,77.3318,3328,4625,71.9567,6564,6565,273,1,2/17/2017 0:00,2063,0.773318,0.719567
COLORECTAL,2847,3687,77.2172,3325,4628,71.8452,6564,6565,273,1,2/19/2017 0:00,2063,0.772172,0.718452
COLORECTAL,2847,3686,77.2381,3325,4628,71.8452,6564,6565,273,1,2/20/2017 0:00,2063,0.772381,0.718452
COLORECTAL,2856,3697,77.2518,3325,4629,71.8297,6564,6565,273,1,2/21/2017 0:00,2063,0.772518,0.718297
COLORECTAL,2856,3695,77.2936,3326,4628,71.8668,6564,6565,273,1,2/22/2017 0:00,2063,0.772936,0.718668
COLORECTAL,2857,3692,77.3835,3328,4627,71.9256,6564,6565,273,1,2/23/2017 0:00,2063,0.773835,0.719256
COLORECTAL,2856,3689,77.4193,3327,4627,71.904,6564,6565,273,1,2/24/2017 0:00,2063,0.774193,0.71904
COLORECTAL,2850,3686,77.3195,3323,4627,71.8175,6564,6565,273,1,2/26/2017 0:00,2063,0.773195,0.718175
COLORECTAL,2857,3692,77.3835,3327,4627,71.904,6564,6565,273,1,2/27/2017 0:00,2063,0.773835,0.71904
COLORECTAL,2856,3685,77.5033,3328,4627,71.9256,6564,6565,273,1,2/28/2017 0:00,2063,0.775033,0.719256
COLORECTAL,2858,3687,77.5155,3329,4626,71.9628,6564,6565,273,1,3/1/2017 0:00,2063,0.775155,0.719628
COLORECTAL,2856,3686,77.4823,3328,4617,72.0814,6564,6565,273,1,3/2/2017 0:00,2063,0.774823,0.720814
COLORECTAL,2853,3682,77.485,3328,4616,72.097,6564,6565,273,1,3/3/2017 0:00,2063,0.77485,0.72097
COLORECTAL,2850,3681,77.4246,3328,4619,72.0502,6564,6565,273,1,3/5/2017 0:00,2063,0.774246,0.720502
COLORECTAL,2852,3683,77.4368,3329,4619,72.0718,6564,6565,273,1,3/6/2017 0:00,2063,0.774368,0.720718
COLORECTAL,5697,7362,77.3838,6655,9240,72.0238,6564,6565,273,1,3/8/2017 0:00,2063,0.773838,0.720238
COLORECTAL,2855,3686,77.4552,3331,4619,72.1151,6564,6565,273,1,3/9/2017 0:00,2063,0.774552,0.721151
COLORECTAL,2875,3716,77.3681,3354,4651,72.1135,6564,6565,273,1,3/10/2017 0:00,2063,0.773681,0.721135
COLORECTAL,2868,3712,77.2629,3351,4653,72.018,6564,6565,273,1,3/12/2017 0:00,2063,0.772629,0.72018
COLORECTAL,2874,3717,77.3204,3353,4653,72.061,6564,6565,273,1,3/13/2017 0:00,2063,0.773204,0.72061
COLORECTAL,2881,3722,77.4046,3356,4657,72.0635,6564,6565,273,1,3/14/2017 0:00,2063,0.774046,0.720635
COLORECTAL,2880,3722,77.3777,3356,4658,72.048,6564,6565,273,1,3/15/2017 0:00,2063,0.773777,0.72048
COLORECTAL,2886,3726,77.4557,3360,4659,72.1184,6564,6565,273,1,3/16/2017 0:00,2063,0.774557,0.721184
COLORECTAL,2888,3728,77.4678,3358,4659,72.0755,6564,6565,273,1,3/17/2017 0:00,2063,0.774678,0.720755
COLORECTAL,2888,3726,77.5093,3359,4660,72.0815,6564,6565,273,1,3/19/2017 0:00,2063,0.775093,0.720815
COLORECTAL,2889,3728,77.4946,3358,4660,72.06,6564,6565,273,1,3/20/2017 0:00,2063,0.774946,0.7206
COLORECTAL,2888,3729,77.447,3358,4660,72.06,6564,6565,273,1,3/21/2017 0:00,2063,0.77447,0.7206
COLORECTAL,2887,3728,77.4409,3358,4661,72.0446,6564,6565,273,1,3/22/2017 0:00,2063,0.774409,0.720446
COLORECTAL,2888,3726,77.5093,3361,4660,72.1244,6564,6565,273,1,3/23/2017 0:00,2063,0.775093,0.721244
COLORECTAL,2888,3722,77.5926,3363,4661,72.1518,6564,6565,273,1,3/24/2017 0:00,2063,0.775926,0.721518
COLORECTAL,2885,3719,77.5746,3361,4662,72.0935,6564,6565,273,1,3/26/2017 0:00,2063,0.775746,0.720935
COLORECTAL,2884,3719,77.5477,3359,4660,72.0815,6564,6565,273,1,3/27/2017 0:00,2063,0.775477,0.720815
COLORECTAL,2884,3721,77.506,3357,4658,72.0695,6564,6565,273,1,3/28/2017 0:00,2063,0.77506,0.720695
COLORECTAL,2885,3724,77.4704,3357,4659,72.054,6564,6565,273,1,3/29/2017 0:00,2063,0.774704,0.72054
COLORECTAL,2884,3724,77.4436,3356,4659,72.0326,6564,6565,273,1,3/30/2017 0:00,2063,0.774436,0.720326
COLORECTAL,2880,3721,77.3985,3355,4663,71.9493,6564,6565,273,1,3/31/2017 0:00,2063,0.773985,0.719493
COLORECTAL,2878,3719,77.3863,3354,4665,71.8971,6564,6565,273,1,4/2/2017 0:00,2063,0.773863,0.718971
COLORECTAL,2879,3724,77.3093,3354,4669,71.8355,6564,6565,273,1,4/3/2017 0:00,2063,0.773093,0.718355
