metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom
COLORECTAL,2115,2934,72.0858,2410,3526,68.3494,6564,6565,273,1,12/5/2016 0:00,2063,0.720858,0.683494
COLORECTAL,2117,2936,72.1049,2414,3526,68.4628,6564,6565,273,1,12/6/2016 0:00,2063,0.721049,0.684628
COLORECTAL,2118,2938,72.0898,2412,3526,68.4061,6564,6565,273,1,12/7/2016 0:00,2063,0.720898,0.684061
COLORECTAL,2120,2938,72.1579,2413,3526,68.4344,6564,6565,273,1,12/8/2016 0:00,2063,0.721579,0.684344
COLORECTAL,4239,5878,72.1163,4827,7055,68.4195,6564,6565,273,1,12/9/2016 0:00,2063,0.721163,0.684195
COLORECTAL,2116,2933,72.1445,2414,3529,68.4046,6564,6565,273,1,12/11/2016 0:00,2063,0.721445,0.684046
COLORECTAL,2117,2936,72.1049,2412,3529,68.3479,6564,6565,273,1,12/12/2016 0:00,2063,0.721049,0.683479
COLORECTAL,2114,2935,72.0272,2415,3531,68.3942,6564,6565,273,1,12/13/2016 0:00,2063,0.720272,0.683942
COLORECTAL,2114,2937,71.9782,2414,3531,68.3659,6564,6565,273,1,12/14/2016 0:00,2063,0.719782,0.683659
COLORECTAL,2127,2944,72.2486,2427,3530,68.7535,6564,6565,273,1,12/15/2016 0:00,2063,0.722486,0.687535
COLORECTAL,2126,2943,72.2392,2427,3530,68.7535,6564,6565,273,1,12/16/2016 0:00,2063,0.722392,0.687535
COLORECTAL,2124,2942,72.1957,2425,3530,68.6968,6564,6565,273,1,12/18/2016 0:00,2063,0.721957,0.686968
COLORECTAL,2129,2946,72.2674,2428,3530,68.7818,6564,6565,273,1,12/19/2016 0:00,2063,0.722674,0.687818
COLORECTAL,2129,2948,72.2184,2426,3529,68.7446,6564,6565,273,1,12/20/2016 0:00,2063,0.722184,0.687446
COLORECTAL,2128,2947,72.209,2425,3531,68.6774,6564,6565,273,1,12/21/2016 0:00,2063,0.72209,0.686774
COLORECTAL,2129,2949,72.1939,2427,3533,68.6951,6564,6565,273,1,12/22/2016 0:00,2063,0.721939,0.686951
COLORECTAL,2131,2954,72.1394,2426,3531,68.7057,6564,6565,273,1,12/23/2016 0:00,2063,0.721394,0.687057
COLORECTAL,2131,2953,72.1639,2426,3530,68.7252,6564,6565,273,1,12/25/2016 0:00,2063,0.721639,0.687252
COLORECTAL,2129,2953,72.0961,2424,3531,68.6491,6564,6565,273,1,12/26/2016 0:00,2063,0.720961,0.686491
COLORECTAL,2143,2958,72.4475,2436,3530,69.0084,6564,6565,273,1,12/27/2016 0:00,2063,0.724475,0.690084
COLORECTAL,2143,2960,72.3986,2436,3530,69.0084,6564,6565,273,1,12/28/2016 0:00,2063,0.723986,0.690084
COLORECTAL,2142,2962,72.316,2436,3532,68.9694,6564,6565,273,1,12/29/2016 0:00,2063,0.72316,0.689694
COLORECTAL,2142,2964,72.2672,2436,3533,68.9499,6564,6565,273,1,12/30/2016 0:00,2063,0.722672,0.689499
COLORECTAL,2142,2964,72.2672,2436,3533,68.9499,6564,6565,273,1,1/1/2017 0:00,2063,0.722672,0.689499
COLORECTAL,2141,2964,72.2334,2435,3533,68.9215,6564,6565,273,1,1/2/2017 0:00,2063,0.722334,0.689215
COLORECTAL,2140,2960,72.2972,2437,3533,68.9782,6564,6565,273,1,1/3/2017 0:00,2063,0.722972,0.689782
COLORECTAL,2141,2962,72.2822,2438,3534,68.9869,6564,6565,273,1,1/4/2017 0:00,2063,0.722822,0.689869
COLORECTAL,2149,2966,72.4544,2441,3535,69.0523,6564,6565,273,1,1/5/2017 0:00,2063,0.724544,0.690523
COLORECTAL,2150,2964,72.5371,2441,3534,69.0718,6564,6565,273,1,1/6/2017 0:00,2063,0.725371,0.690718
COLORECTAL,2145,2962,72.4172,2439,3536,68.9762,6564,6565,273,1,1/8/2017 0:00,2063,0.724172,0.689762
COLORECTAL,2153,2966,72.5893,2446,3539,69.1155,6564,6565,273,1,1/9/2017 0:00,2063,0.725893,0.691155
COLORECTAL,2153,2968,72.5404,2446,3539,69.1155,6564,6565,273,1,1/10/2017 0:00,2063,0.725404,0.691155
COLORECTAL,2150,2965,72.5126,2447,3541,69.1047,6564,6565,273,1,1/11/2017 0:00,2063,0.725126,0.691047
COLORECTAL,2155,2969,72.5833,2451,3543,69.1786,6564,6565,273,1,1/12/2017 0:00,2063,0.725833,0.691786
COLORECTAL,2157,2971,72.6018,2452,3544,69.1873,6564,6565,273,1,1/13/2017 0:00,2063,0.726018,0.691873
COLORECTAL,2154,2972,72.4764,2449,3547,69.0442,6564,6565,273,1,1/15/2017 0:00,2063,0.724764,0.690442
COLORECTAL,2156,2974,72.4949,2450,3549,69.0335,6564,6565,273,1,1/16/2017 0:00,2063,0.724949,0.690335
COLORECTAL,2160,2977,72.5562,2453,3550,69.0985,6564,6565,273,1,1/17/2017 0:00,2063,0.725562,0.690985
COLORECTAL,2159,2979,72.4739,2452,3551,69.0509,6564,6565,273,1,1/18/2017 0:00,2063,0.724739,0.690509
COLORECTAL,2161,2985,72.3953,2454,3553,69.0683,6564,6565,273,1,1/19/2017 0:00,2063,0.723953,0.690683
COLORECTAL,2161,2986,72.371,2456,3555,69.0857,6564,6565,273,1,1/20/2017 0:00,2063,0.72371,0.690857
COLORECTAL,2157,2984,72.2855,2454,3556,69.0101,6564,6565,273,1,1/22/2017 0:00,2063,0.722855,0.690101
COLORECTAL,2161,2988,72.3226,2457,3557,69.075,6564,6565,273,1,1/23/2017 0:00,2063,0.723226,0.69075
COLORECTAL,2163,2991,72.3169,2459,3560,69.073,6564,6565,273,1,1/24/2017 0:00,2063,0.723169,0.69073
COLORECTAL,2166,2989,72.4657,2465,3560,69.2415,6564,6565,273,1,1/25/2017 0:00,2063,0.724657,0.692415
COLORECTAL,2168,2995,72.3873,2464,3561,69.194,6564,6565,273,1,1/26/2017 0:00,2063,0.723873,0.69194
COLORECTAL,2164,2991,72.3503,2462,3560,69.1573,6564,6565,273,1,1/27/2017 0:00,2063,0.723503,0.691573
COLORECTAL,2164,2991,72.3503,2459,3560,69.073,6564,6565,273,1,1/29/2017 0:00,2063,0.723503,0.69073
COLORECTAL,2169,2993,72.469,2462,3559,69.1767,6564,6565,273,1,1/30/2017 0:00,2063,0.72469,0.691767
COLORECTAL,2172,2996,72.4966,2463,3560,69.1853,6564,6565,273,1,1/31/2017 0:00,2063,0.724966,0.691853
COLORECTAL,2173,3000,72.4333,2464,3562,69.1746,6564,6565,273,1,2/1/2017 0:00,2063,0.724333,0.691746
COLORECTAL,2173,3002,72.385,2463,3563,69.1271,6564,6565,273,1,2/2/2017 0:00,2063,0.72385,0.691271
COLORECTAL,2170,3000,72.3333,2463,3564,69.1077,6564,6565,273,1,2/3/2017 0:00,2063,0.723333,0.691077
COLORECTAL,2167,2995,72.3539,2463,3565,69.0883,6564,6565,273,1,2/5/2017 0:00,2063,0.723539,0.690883
COLORECTAL,2167,2996,72.3297,2463,3566,69.0689,6564,6565,273,1,2/6/2017 0:00,2063,0.723297,0.690689
COLORECTAL,2166,2993,72.3688,2463,3566,69.0689,6564,6565,273,1,2/7/2017 0:00,2063,0.723688,0.690689
COLORECTAL,2168,2990,72.5083,2468,3567,69.1897,6564,6565,273,1,2/8/2017 0:00,2063,0.725083,0.691897
COLORECTAL,2165,2990,72.408,2466,3566,69.1531,6564,6565,273,1,2/9/2017 0:00,2063,0.72408,0.691531
COLORECTAL,2164,2992,72.3262,2467,3568,69.1423,6564,6565,273,1,2/10/2017 0:00,2063,0.723262,0.691423
COLORECTAL,2162,2989,72.3318,2466,3567,69.1337,6564,6565,273,1,2/12/2017 0:00,2063,0.723318,0.691337
COLORECTAL,2165,2992,72.3596,2467,3567,69.1617,6564,6565,273,1,2/13/2017 0:00,2063,0.723596,0.691617
COLORECTAL,2167,2993,72.4022,2468,3568,69.1704,6564,6565,273,1,2/14/2017 0:00,2063,0.724022,0.691704
COLORECTAL,2165,2992,72.3596,2468,3568,69.1704,6564,6565,273,1,2/15/2017 0:00,2063,0.723596,0.691704
COLORECTAL,2166,2995,72.3205,2469,3570,69.1596,6564,6565,273,1,2/16/2017 0:00,2063,0.723205,0.691596
COLORECTAL,2165,2997,72.2389,2468,3572,69.0929,6564,6565,273,1,2/17/2017 0:00,2063,0.722389,0.690929
COLORECTAL,2164,2994,72.2778,2466,3572,69.0369,6564,6565,273,1,2/19/2017 0:00,2063,0.722778,0.690369
COLORECTAL,2164,2993,72.302,2465,3569,69.0669,6564,6565,273,1,2/20/2017 0:00,2063,0.72302,0.690669
COLORECTAL,2164,2992,72.3262,2466,3570,69.0756,6564,6565,273,1,2/21/2017 0:00,2063,0.723262,0.690756
COLORECTAL,2160,2985,72.3618,2465,3568,69.0863,6564,6565,273,1,2/22/2017 0:00,2063,0.723618,0.690863
COLORECTAL,2161,2985,72.3953,2467,3569,69.123,6564,6565,273,1,2/23/2017 0:00,2063,0.723953,0.69123
COLORECTAL,2163,2990,72.3411,2465,3569,69.0669,6564,6565,273,1,2/24/2017 0:00,2063,0.723411,0.690669
COLORECTAL,2161,2988,72.3226,2465,3572,69.0089,6564,6565,273,1,2/26/2017 0:00,2063,0.723226,0.690089
COLORECTAL,2165,2990,72.408,2467,3572,69.0649,6564,6565,273,1,2/27/2017 0:00,2063,0.72408,0.690649
COLORECTAL,2168,2992,72.4598,2469,3574,69.0822,6564,6565,273,1,2/28/2017 0:00,2063,0.724598,0.690822
COLORECTAL,2171,2996,72.4632,2470,3576,69.0715,6564,6565,273,1,3/1/2017 0:00,2063,0.724632,0.690715
COLORECTAL,2173,2998,72.4816,2473,3577,69.1361,6564,6565,273,1,3/2/2017 0:00,2063,0.724816,0.691361
COLORECTAL,2171,3000,72.3666,2473,3580,69.0782,6564,6565,273,1,3/3/2017 0:00,2063,0.723666,0.690782
COLORECTAL,2170,2996,72.4299,2473,3580,69.0782,6564,6565,273,1,3/5/2017 0:00,2063,0.724299,0.690782
COLORECTAL,2176,3001,72.5091,2475,3582,69.0954,6564,6565,273,1,3/6/2017 0:00,2063,0.725091,0.690954
COLORECTAL,4358,5995,72.6939,4955,7169,69.117,6564,6565,273,1,3/8/2017 0:00,2063,0.726939,0.69117
COLORECTAL,2179,2997,72.706,2479,3588,69.0914,6564,6565,273,1,3/9/2017 0:00,2063,0.72706,0.690914
COLORECTAL,2177,2994,72.712,2479,3587,69.1106,6564,6565,273,1,3/10/2017 0:00,2063,0.72712,0.691106
COLORECTAL,2173,2990,72.6755,2478,3587,69.0827,6564,6565,273,1,3/12/2017 0:00,2063,0.726755,0.690827
COLORECTAL,2183,2997,72.8395,2483,3588,69.2028,6564,6565,273,1,3/13/2017 0:00,2063,0.728395,0.692028
COLORECTAL,2181,2996,72.797,2482,3590,69.1364,6564,6565,273,1,3/14/2017 0:00,2063,0.72797,0.691364
COLORECTAL,2182,2989,73.001,2487,3591,69.2564,6564,6565,273,1,3/15/2017 0:00,2063,0.73001,0.692564
COLORECTAL,2182,2988,73.0254,2486,3588,69.2865,6564,6565,273,1,3/16/2017 0:00,2063,0.730254,0.692865
COLORECTAL,2184,2992,72.9946,2486,3590,69.2479,6564,6565,273,1,3/17/2017 0:00,2063,0.729946,0.692479
COLORECTAL,2180,2987,72.9829,2484,3589,69.2114,6564,6565,273,1,3/19/2017 0:00,2063,0.729829,0.692114
COLORECTAL,2186,2993,73.037,2489,3590,69.3314,6564,6565,273,1,3/20/2017 0:00,2063,0.73037,0.693314
COLORECTAL,2187,2992,73.0949,2490,3591,69.34,6564,6565,273,1,3/21/2017 0:00,2063,0.730949,0.6934
COLORECTAL,2186,2993,73.037,2490,3594,69.2821,6564,6565,273,1,3/22/2017 0:00,2063,0.73037,0.692821
COLORECTAL,2179,2984,73.0227,2487,3593,69.2179,6564,6565,273,1,3/23/2017 0:00,2063,0.730227,0.692179
