metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom
COLORECTAL,936,1307,71.6143,1062,1588,66.8765,6564,6565,273,1,12/5/2016 0:00,2063,0.716143,0.668765
COLORECTAL,938,1310,71.603,1063,1588,66.9395,6564,6565,273,1,12/6/2016 0:00,2063,0.71603,0.669395
COLORECTAL,939,1310,71.6793,1062,1586,66.9609,6564,6565,273,1,12/7/2016 0:00,2063,0.716793,0.669609
COLORECTAL,940,1312,71.6463,1062,1586,66.9609,6564,6565,273,1,12/8/2016 0:00,2063,0.716463,0.669609
COLORECTAL,1881,2626,71.6298,2124,3175,66.8976,6564,6565,273,1,12/9/2016 0:00,2063,0.716298,0.668976
COLORECTAL,940,1314,71.5372,1062,1590,66.7924,6564,6565,273,1,12/11/2016 0:00,2063,0.715372,0.667924
COLORECTAL,946,1317,71.8299,1066,1590,67.044,6564,6565,273,1,12/12/2016 0:00,2063,0.718299,0.67044
COLORECTAL,950,1318,72.0789,1069,1590,67.2327,6564,6565,273,1,12/13/2016 0:00,2063,0.720789,0.672327
COLORECTAL,950,1319,72.0242,1069,1591,67.1904,6564,6565,273,1,12/14/2016 0:00,2063,0.720242,0.671904
COLORECTAL,948,1318,71.9271,1068,1589,67.212,6564,6565,273,1,12/15/2016 0:00,2063,0.719271,0.67212
COLORECTAL,948,1317,71.9817,1069,1590,67.2327,6564,6565,273,1,12/16/2016 0:00,2063,0.719817,0.672327
COLORECTAL,948,1315,72.0912,1069,1590,67.2327,6564,6565,273,1,12/18/2016 0:00,2063,0.720912,0.672327
COLORECTAL,950,1317,72.1336,1071,1592,67.2738,6564,6565,273,1,12/19/2016 0:00,2063,0.721336,0.672738
COLORECTAL,950,1319,72.0242,1070,1592,67.211,6564,6565,273,1,12/20/2016 0:00,2063,0.720242,0.67211
COLORECTAL,950,1319,72.0242,1070,1592,67.211,6564,6565,273,1,12/21/2016 0:00,2063,0.720242,0.67211
COLORECTAL,949,1318,72.003,1069,1591,67.1904,6564,6565,273,1,12/22/2016 0:00,2063,0.72003,0.671904
COLORECTAL,948,1318,71.9271,1069,1591,67.1904,6564,6565,273,1,12/23/2016 0:00,2063,0.719271,0.671904
COLORECTAL,947,1319,71.7968,1068,1592,67.0854,6564,6565,273,1,12/25/2016 0:00,2063,0.717968,0.670854
COLORECTAL,947,1319,71.7968,1068,1592,67.0854,6564,6565,273,1,12/26/2016 0:00,2063,0.717968,0.670854
COLORECTAL,947,1319,71.7968,1068,1592,67.0854,6564,6565,273,1,12/27/2016 0:00,2063,0.717968,0.670854
COLORECTAL,948,1320,71.8181,1069,1593,67.106,6564,6565,273,1,12/28/2016 0:00,2063,0.718181,0.67106
COLORECTAL,946,1317,71.8299,1068,1593,67.0433,6564,6565,273,1,12/29/2016 0:00,2063,0.718299,0.670433
COLORECTAL,945,1315,71.8631,1068,1592,67.0854,6564,6565,273,1,12/30/2016 0:00,2063,0.718631,0.670854
COLORECTAL,944,1315,71.787,1067,1592,67.0226,6564,6565,273,1,1/1/2017 0:00,2063,0.71787,0.670226
COLORECTAL,944,1315,71.787,1067,1592,67.0226,6564,6565,273,1,1/2/2017 0:00,2063,0.71787,0.670226
COLORECTAL,944,1316,71.7325,1068,1590,67.1698,6564,6565,273,1,1/3/2017 0:00,2063,0.717325,0.671698
COLORECTAL,943,1314,71.7656,1068,1590,67.1698,6564,6565,273,1,1/4/2017 0:00,2063,0.717656,0.671698
COLORECTAL,944,1316,71.7325,1068,1592,67.0854,6564,6565,273,1,1/5/2017 0:00,2063,0.717325,0.670854
COLORECTAL,944,1316,71.7325,1068,1592,67.0854,6564,6565,273,1,1/6/2017 0:00,2063,0.717325,0.670854
COLORECTAL,944,1315,71.787,1068,1592,67.0854,6564,6565,273,1,1/8/2017 0:00,2063,0.71787,0.670854
COLORECTAL,943,1316,71.6565,1067,1593,66.9805,6564,6565,273,1,1/9/2017 0:00,2063,0.716565,0.669805
COLORECTAL,942,1316,71.5805,1067,1592,67.0226,6564,6565,273,1,1/10/2017 0:00,2063,0.715805,0.670226
COLORECTAL,946,1316,71.8844,1071,1592,67.2738,6564,6565,273,1,1/11/2017 0:00,2063,0.718844,0.672738
COLORECTAL,948,1313,72.201,1074,1591,67.5047,6564,6565,273,1,1/12/2017 0:00,2063,0.72201,0.675047
COLORECTAL,951,1315,72.3193,1075,1592,67.5251,6564,6565,273,1,1/13/2017 0:00,2063,0.723193,0.675251
COLORECTAL,950,1316,72.1884,1074,1593,67.4199,6564,6565,273,1,1/15/2017 0:00,2063,0.721884,0.674199
COLORECTAL,950,1317,72.1336,1074,1594,67.3776,6564,6565,273,1,1/16/2017 0:00,2063,0.721336,0.673776
COLORECTAL,949,1316,72.1124,1074,1595,67.3354,6564,6565,273,1,1/17/2017 0:00,2063,0.721124,0.673354
COLORECTAL,949,1315,72.1673,1073,1595,67.2727,6564,6565,273,1,1/18/2017 0:00,2063,0.721673,0.672727
COLORECTAL,947,1314,72.07,1071,1593,67.2316,6564,6565,273,1,1/19/2017 0:00,2063,0.7207,0.672316
COLORECTAL,948,1315,72.0912,1071,1594,67.1894,6564,6565,273,1,1/20/2017 0:00,2063,0.720912,0.671894
COLORECTAL,946,1314,71.9939,1070,1594,67.1267,6564,6565,273,1,1/22/2017 0:00,2063,0.719939,0.671267
COLORECTAL,947,1316,71.9604,1070,1594,67.1267,6564,6565,273,1,1/23/2017 0:00,2063,0.719604,0.671267
COLORECTAL,945,1315,71.8631,1069,1593,67.106,6564,6565,273,1,1/24/2017 0:00,2063,0.718631,0.67106
COLORECTAL,944,1313,71.8964,1068,1592,67.0854,6564,6565,273,1,1/25/2017 0:00,2063,0.718964,0.670854
COLORECTAL,944,1314,71.8417,1068,1593,67.0433,6564,6565,273,1,1/26/2017 0:00,2063,0.718417,0.670433
COLORECTAL,945,1315,71.8631,1069,1594,67.0639,6564,6565,273,1,1/27/2017 0:00,2063,0.718631,0.670639
COLORECTAL,944,1314,71.8417,1068,1594,67.0012,6564,6565,273,1,1/29/2017 0:00,2063,0.718417,0.670012
