metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom,
COLORECTAL,872,1520,57.368400,1087,2352,46.215900,6564,6565,273,1,1/1/2017 12:00:00 AM,2063,0.573684,0.462159,
COLORECTAL,871,1520,57.302600,1086,2352,46.173400,6564,6565,273,1,1/2/2017 12:00:00 AM,2063,0.573026,0.461734,
COLORECTAL,868,1516,57.255900,1087,2355,46.157100,6564,6565,273,1,1/3/2017 12:00:00 AM,2063,0.572559,0.461571,
COLORECTAL,869,1518,57.246300,1087,2358,46.098300,6564,6565,273,1,1/4/2017 12:00:00 AM,2063,0.572463,0.460983,
COLORECTAL,870,1518,57.312200,1087,2357,46.117900,6564,6565,273,1,1/5/2017 12:00:00 AM,2063,0.573122,0.461179,
COLORECTAL,870,1518,57.312200,1086,2355,46.114600,6564,6565,273,1,1/6/2017 12:00:00 AM,2063,0.573122,0.461146,
COLORECTAL,870,1517,57.350000,1086,2355,46.114600,6564,6565,273,1,1/8/2017 12:00:00 AM,2063,0.573500,0.461146,
COLORECTAL,871,1519,57.340300,1087,2354,46.176700,6564,6565,273,1,1/9/2017 12:00:00 AM,2063,0.573403,0.461767,
COLORECTAL,870,1521,57.199200,1087,2354,46.176700,6564,6565,273,1,1/10/2017 12:00:00 AM,2063,0.571992,0.461767,
COLORECTAL,869,1519,57.208600,1087,2353,46.196300,6564,6565,273,1,1/11/2017 12:00:00 AM,2063,0.572086,0.461963,
COLORECTAL,869,1522,57.095900,1086,2356,46.095000,6564,6565,273,1,1/12/2017 12:00:00 AM,2063,0.570959,0.460950,
COLORECTAL,868,1519,57.142800,1086,2356,46.095000,6564,6565,273,1,1/13/2017 12:00:00 AM,2063,0.571428,0.460950,
COLORECTAL,868,1518,57.180500,1086,2356,46.095000,6564,6565,273,1,1/15/2017 12:00:00 AM,2063,0.571805,0.460950,
COLORECTAL,871,1520,57.302600,1088,2356,46.179900,6564,6565,273,1,1/16/2017 12:00:00 AM,2063,0.573026,0.461799,
COLORECTAL,869,1519,57.208600,1087,2356,46.137500,6564,6565,273,1,1/17/2017 12:00:00 AM,2063,0.572086,0.461375,
COLORECTAL,869,1517,57.284100,1087,2356,46.137500,6564,6565,273,1,1/18/2017 12:00:00 AM,2063,0.572841,0.461375,
COLORECTAL,869,1516,57.321800,1087,2356,46.137500,6564,6565,273,1,1/19/2017 12:00:00 AM,2063,0.573218,0.461375,
COLORECTAL,867,1512,57.341200,1086,2356,46.095000,6564,6565,273,1,1/20/2017 12:00:00 AM,2063,0.573412,0.460950,
COLORECTAL,865,1510,57.284700,1085,2355,46.072100,6564,6565,273,1,1/22/2017 12:00:00 AM,2063,0.572847,0.460721,
COLORECTAL,867,1511,57.379200,1087,2357,46.117900,6564,6565,273,1,1/23/2017 12:00:00 AM,2063,0.573792,0.461179,
COLORECTAL,866,1510,57.350900,1087,2350,46.255300,6564,6565,273,1,1/24/2017 12:00:00 AM,2063,0.573509,0.462553,
COLORECTAL,864,1508,57.294400,1087,2349,46.275000,6564,6565,273,1,1/25/2017 12:00:00 AM,2063,0.572944,0.462750,
COLORECTAL,863,1505,57.342100,1084,2337,46.384200,6564,6565,273,1,1/26/2017 12:00:00 AM,2063,0.573421,0.463842,
COLORECTAL,863,1506,57.304100,1083,2336,46.361300,6564,6565,273,1,1/27/2017 12:00:00 AM,2063,0.573041,0.463613,
COLORECTAL,862,1505,57.275700,1082,2336,46.318400,6564,6565,273,1,1/29/2017 12:00:00 AM,2063,0.572757,0.463184,
COLORECTAL,863,1506,57.304100,1082,2340,46.239300,6564,6565,273,1,1/30/2017 12:00:00 AM,2063,0.573041,0.462393,
COLORECTAL,861,1505,57.209300,1082,2339,46.259000,6564,6565,273,1,1/31/2017 12:00:00 AM,2063,0.572093,0.462590,
COLORECTAL,864,1509,57.256400,1083,2339,46.301800,6564,6565,273,1,2/1/2017 12:00:00 AM,2063,0.572564,0.463018,
COLORECTAL,861,1504,57.247300,1081,2338,46.236000,6564,6565,273,1,2/2/2017 12:00:00 AM,2063,0.572473,0.462360,
COLORECTAL,859,1501,57.228500,1080,2339,46.173500,6564,6565,273,1,2/3/2017 12:00:00 AM,2063,0.572285,0.461735,
COLORECTAL,858,1499,57.238100,1079,2338,46.150500,6564,6565,273,1,2/5/2017 12:00:00 AM,2063,0.572381,0.461505,
COLORECTAL,860,1500,57.333300,1080,2338,46.193300,6564,6565,273,1,2/6/2017 12:00:00 AM,2063,0.573333,0.461933,
COLORECTAL,860,1497,57.448200,1081,2337,46.255800,6564,6565,273,1,2/7/2017 12:00:00 AM,2063,0.574482,0.462558,
COLORECTAL,859,1496,57.419700,1079,2333,46.249400,6564,6565,273,1,2/8/2017 12:00:00 AM,2063,0.574197,0.462494,
COLORECTAL,858,1496,57.352900,1078,2332,46.226400,6564,6565,273,1,2/9/2017 12:00:00 AM,2063,0.573529,0.462264,
COLORECTAL,860,1499,57.371500,1078,2333,46.206600,6564,6565,273,1,2/10/2017 12:00:00 AM,2063,0.573715,0.462066,
COLORECTAL,858,1498,57.276300,1077,2333,46.163700,6564,6565,273,1,2/12/2017 12:00:00 AM,2063,0.572763,0.461637,
COLORECTAL,859,1501,57.228500,1076,2334,46.101100,6564,6565,273,1,2/13/2017 12:00:00 AM,2063,0.572285,0.461011,
COLORECTAL,862,1502,57.390100,1077,2336,46.104400,6564,6565,273,1,2/14/2017 12:00:00 AM,2063,0.573901,0.461044,
COLORECTAL,859,1500,57.266600,1076,2336,46.061600,6564,6565,273,1,2/15/2017 12:00:00 AM,2063,0.572666,0.460616,
COLORECTAL,856,1496,57.219200,1076,2335,46.081300,6564,6565,273,1,2/16/2017 12:00:00 AM,2063,0.572192,0.460813,
COLORECTAL,855,1493,57.267200,1076,2335,46.081300,6564,6565,273,1,2/17/2017 12:00:00 AM,2063,0.572672,0.460813,
COLORECTAL,852,1491,57.142800,1074,2334,46.015400,6564,6565,273,1,2/19/2017 12:00:00 AM,2063,0.571428,0.460154,
COLORECTAL,855,1498,57.076100,1075,2334,46.058200,6564,6565,273,1,2/20/2017 12:00:00 AM,2063,0.570761,0.460582,
COLORECTAL,854,1498,57.009300,1073,2334,45.972500,6564,6565,273,1,2/21/2017 12:00:00 AM,2063,0.570093,0.459725,
COLORECTAL,854,1499,56.971300,1071,2327,46.024900,6564,6565,273,1,2/22/2017 12:00:00 AM,2063,0.569713,0.460249,
COLORECTAL,856,1501,57.028600,1072,2326,46.087700,6564,6565,273,1,2/23/2017 12:00:00 AM,2063,0.570286,0.460877,
COLORECTAL,855,1499,57.038000,1071,2328,46.005100,6564,6565,273,1,2/24/2017 12:00:00 AM,2063,0.570380,0.460051,
COLORECTAL,854,1499,56.971300,1070,2328,45.962100,6564,6565,273,1,2/26/2017 12:00:00 AM,2063,0.569713,0.459621,
COLORECTAL,859,1502,57.190400,1074,2328,46.134000,6564,6565,273,1,2/27/2017 12:00:00 AM,2063,0.571904,0.461340,
COLORECTAL,861,1503,57.285400,1074,2327,46.153800,6564,6565,273,1,2/28/2017 12:00:00 AM,2063,0.572854,0.461538,
COLORECTAL,860,1501,57.295100,1074,2327,46.153800,6564,6565,273,1,3/1/2017 12:00:00 AM,2063,0.572951,0.461538,
COLORECTAL,858,1500,57.200000,1072,2329,46.028300,6564,6565,273,1,3/2/2017 12:00:00 AM,2063,0.572000,0.460283,
COLORECTAL,857,1499,57.171400,1070,2325,46.021500,6564,6565,273,1,3/3/2017 12:00:00 AM,2063,0.571714,0.460215,
COLORECTAL,853,1493,57.133200,1069,2325,45.978400,6564,6565,273,1,3/5/2017 12:00:00 AM,2063,0.571332,0.459784,
