metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom,
COLORECTAL,1897,3311,57.293800,2183,4274,51.076200,6564,6565,273,1,1/1/2017 12:00:00 AM,2063,0.572938,0.510762,
COLORECTAL,1905,3329,57.224300,2191,4294,51.024600,6564,6565,273,1,1/2/2017 12:00:00 AM,2063,0.572243,0.510246,
COLORECTAL,1924,3355,57.347200,2215,4324,51.225700,6564,6565,273,1,1/3/2017 12:00:00 AM,2063,0.573472,0.512257,
COLORECTAL,1969,3437,57.288300,2262,4422,51.153300,6564,6565,273,1,1/4/2017 12:00:00 AM,2063,0.572883,0.511533,
COLORECTAL,1977,3451,57.287700,2271,4440,51.148600,6564,6565,273,1,1/5/2017 12:00:00 AM,2063,0.572877,0.511486,
COLORECTAL,2009,3495,57.482100,2304,4487,51.348300,6564,6565,273,1,1/6/2017 12:00:00 AM,2063,0.574821,0.513483,
COLORECTAL,2033,3531,57.575700,2330,4528,51.457500,6564,6565,273,1,1/8/2017 12:00:00 AM,2063,0.575757,0.514575,
COLORECTAL,2062,3569,57.775200,2358,4565,51.653800,6564,6565,273,1,1/9/2017 12:00:00 AM,2063,0.577752,0.516538,
COLORECTAL,2099,3626,57.887400,2395,4626,51.772500,6564,6565,273,1,1/10/2017 12:00:00 AM,2063,0.578874,0.517725,
COLORECTAL,2138,3680,58.097800,2436,4695,51.884900,6564,6565,273,1,1/11/2017 12:00:00 AM,2063,0.580978,0.518849,
COLORECTAL,2144,3689,58.118700,2439,4709,51.794400,6564,6565,273,1,1/12/2017 12:00:00 AM,2063,0.581187,0.517944,
COLORECTAL,2148,3693,58.164000,2442,4714,51.803100,6564,6565,273,1,1/13/2017 12:00:00 AM,2063,0.581640,0.518031,
COLORECTAL,2148,3689,58.227100,2442,4716,51.781100,6564,6565,273,1,1/15/2017 12:00:00 AM,2063,0.582271,0.517811,
COLORECTAL,2149,3696,58.143900,2441,4718,51.738000,6564,6565,273,1,1/16/2017 12:00:00 AM,2063,0.581439,0.517380,
COLORECTAL,2151,3698,58.166500,2444,4720,51.779600,6564,6565,273,1,1/17/2017 12:00:00 AM,2063,0.581665,0.517796,
COLORECTAL,2155,3705,58.164600,2445,4723,51.767900,6564,6565,273,1,1/18/2017 12:00:00 AM,2063,0.581646,0.517679,
