metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom,
COLORECTAL,2142,2964,72.267200,2436,3533,68.949900,6564,6565,273,1,1/1/2017 12:00:00 AM,2063,0.722672,0.689499,
COLORECTAL,2141,2964,72.233400,2435,3533,68.921500,6564,6565,273,1,1/2/2017 12:00:00 AM,2063,0.722334,0.689215,
COLORECTAL,2140,2960,72.297200,2437,3533,68.978200,6564,6565,273,1,1/3/2017 12:00:00 AM,2063,0.722972,0.689782,
COLORECTAL,2141,2962,72.282200,2438,3534,68.986900,6564,6565,273,1,1/4/2017 12:00:00 AM,2063,0.722822,0.689869,
COLORECTAL,2149,2966,72.454400,2441,3535,69.052300,6564,6565,273,1,1/5/2017 12:00:00 AM,2063,0.724544,0.690523,
COLORECTAL,2150,2964,72.537100,2441,3534,69.071800,6564,6565,273,1,1/6/2017 12:00:00 AM,2063,0.725371,0.690718,
COLORECTAL,2145,2962,72.417200,2439,3536,68.976200,6564,6565,273,1,1/8/2017 12:00:00 AM,2063,0.724172,0.689762,
COLORECTAL,2153,2966,72.589300,2446,3539,69.115500,6564,6565,273,1,1/9/2017 12:00:00 AM,2063,0.725893,0.691155,
COLORECTAL,2153,2968,72.540400,2446,3539,69.115500,6564,6565,273,1,1/10/2017 12:00:00 AM,2063,0.725404,0.691155,
COLORECTAL,2150,2965,72.512600,2447,3541,69.104700,6564,6565,273,1,1/11/2017 12:00:00 AM,2063,0.725126,0.691047,
COLORECTAL,2155,2969,72.583300,2451,3543,69.178600,6564,6565,273,1,1/12/2017 12:00:00 AM,2063,0.725833,0.691786,
COLORECTAL,2157,2971,72.601800,2452,3544,69.187300,6564,6565,273,1,1/13/2017 12:00:00 AM,2063,0.726018,0.691873,
COLORECTAL,2154,2972,72.476400,2449,3547,69.044200,6564,6565,273,1,1/15/2017 12:00:00 AM,2063,0.724764,0.690442,
COLORECTAL,2156,2974,72.494900,2450,3549,69.033500,6564,6565,273,1,1/16/2017 12:00:00 AM,2063,0.724949,0.690335,
COLORECTAL,2160,2977,72.556200,2453,3550,69.098500,6564,6565,273,1,1/17/2017 12:00:00 AM,2063,0.725562,0.690985,
