NAME,Metricname,SeenNum,SeenDenom,SeenAvg,LastUpdate
"Alexander MD, Steven",AAA Screening,,63,,44:34.4
"Alexander MD, Steven",Advance Directive - Patients >55yrs w/Advance Directive ,,712,,44:45.6
"Alexander MD, Steven",Blood Pressure NOT Controlled  >140/90 mm Hg    ,23,167,0.1377,42:44.2
"Alexander MD, Steven",Chlamydia,,1,,44:20.2
"Alexander MD, Steven",Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test),392,568,0.6901,43:54.5
"Alexander MD, Steven",Diabetes Care Gaps ,155,167,0.9281,54:52.8
"Alexander MD, Steven",DM PTS 40 to 75 w/STATIN,84,94,0.8936,53:36.4
"Alexander MD, Steven",DM PTS 55-75 w/ACE/ARB,55,79,0.6962,53:30.8
"Alexander MD, Steven",Eye exam,95,167,0.5689,42:50.2
"Alexander MD, Steven",Foot Exam,145,167,0.8683,42:56.3
"Alexander MD, Steven",HgbA1c < 7.0                     ,99,167,0.5928,43:02.6
"Alexander MD, Steven",HgbA1c NOT > 9.0 (poor control) ,153,167,0.9162,43:08.4
"Alexander MD, Steven",Hypertension Patients 18-59 years BP <140/90,72,85,0.8471,43:27.6
"Alexander MD, Steven",Hypertension Patients over 18 BP <140/90,399,437,0.913,43:41.7
"Alexander MD, Steven",Hypertension Patients over 59 years BP <150/90,340,361,0.9418,43:34.3
"Alexander MD, Steven",Mammogram Ages 52 -74,127,192,0.6615,44:25.3
"Alexander MD, Steven",Nephropathy Assessment,134,167,0.8024,43:15.2
"Alexander MD, Steven",Pap Smear Report,133,279,0.4767,54:59.8
"Alexander MD, Steven",Pneumovax - DM patients w/current pneumovax,153,167,0.9162,44:52.8
"Alexander MD, Steven",Pneumovax - Patients Age>65 w/current pneumovax,413,474,0.8713,45:00.3
"Alexander MD, Steven",Pneumovax - Smokers w/current pneumovax,46,74,0.6216,45:07.9
"Alexander MD, Steven",Smoking Cessation Advice or Treatment ,11,12,0.9167,43:21.8
"Alexander MD, Steven",Statin patients with LDL in the past 365 days,331,381,0.8688,55:27.1
"Alexander MD, Steven",TD - Patients >18yrs with TD in last 10 years,1030,1283,0.8028,45:16.9
"Alexander MD, Steven",WCV 3-6 yr,65,74,0.8784,32:17.3
