"NAME","Metricname","SeenNum","SeenDenom","SeenAvg","LastUpdate"
"Alexander MD, Steven","AAA Screening","","63","","2017-12-03 23:35:39.647000000"
"Alexander MD, Steven","Advance Directive - Patients >55yrs w/Advance Directive ","185","711",".2602","2017-12-03 23:35:50.380000000"
"Alexander MD, Steven","Blood Pressure NOT Controlled  >140/90 mm Hg    ","26","162",".1605","2017-12-03 23:34:27.100000000"
"Alexander MD, Steven","Chlamydia","","1","","2017-12-03 23:35:27.723000000"
"Alexander MD, Steven","Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test)","392","565",".6938","2017-12-03 23:35:20.007000000"
"Alexander MD, Steven","Diabetes Care Gaps ","153","162",".9444","2017-12-03 23:42:57.800000000"
"Alexander MD, Steven","DM PTS 40 to 75 w/STATIN","81","91",".8901","2017-12-03 23:42:22.720000000"
"Alexander MD, Steven","DM PTS 55-75 w/ACE/ARB","54","76",".7105","2017-12-03 23:42:18.187000000"
"Alexander MD, Steven","Eye exam","90","162",".5556","2017-12-03 23:34:31.410000000"
"Alexander MD, Steven","Foot Exam","146","162",".9012","2017-12-03 23:34:36.410000000"
"Alexander MD, Steven","HgbA1c < 7.0                     ","88","162",".5432","2017-12-03 23:34:42.037000000"
"Alexander MD, Steven","HgbA1c NOT > 9.0 (poor control) ","147","162",".9074","2017-12-03 23:34:46.677000000"
"Alexander MD, Steven","Hypertension Patients 18-59 years BP <140/90","72","86",".8372","2017-12-03 23:35:01.780000000"
"Alexander MD, Steven","Hypertension Patients over 18 BP <140/90","391","437",".8947","2017-12-03 23:35:13.270000000"
"Alexander MD, Steven","Hypertension Patients over 59 years BP <150/90","336","360",".9333","2017-12-03 23:35:06.843000000"
"Alexander MD, Steven","Mammogram Ages 52 -74","126","191",".6597","2017-12-03 23:35:32.367000000"
"Alexander MD, Steven","Nephropathy Assessment","137","162",".8457","2017-12-03 23:34:51.807000000"
"Alexander MD, Steven","Pap Smear Report","134","277",".4838","2017-12-03 23:43:03.267000000"
"Alexander MD, Steven","Pneumovax - DM patients w/current pneumovax","151","162",".9321","2017-12-03 23:35:56.257000000"
"Alexander MD, Steven","Pneumovax - Patients Age>65 w/current pneumovax","414","474",".8734","2017-12-03 23:36:02.053000000"
"Alexander MD, Steven","Pneumovax - Smokers w/current pneumovax","47","73",".6438","2017-12-03 23:36:09.007000000"
"Alexander MD, Steven","Smoking Cessation Advice or Treatment ","12","12","1.0000","2017-12-03 23:34:57.807000000"
"Alexander MD, Steven","Statin patients with LDL in the past 365 days","331","381",".8688","2017-12-03 23:43:29.660000000"
"Alexander MD, Steven","TD - Patients >18yrs with TD in last 10 years","1018","1273",".7997","2017-12-03 23:36:16.473000000"
"Alexander MD, Steven","WCV 3-6 yr","61","70",".8714","2017-12-04 00:19:20.620000000"
"Anderson MD, Greg","AAA Screening","73","103",".7087","2017-12-03 23:35:39.647000000"
"Anderson MD, Greg","Advance Directive - Patients >55yrs w/Advance Directive ","126","644",".1957","2017-12-03 23:35:50.380000000"
"Anderson MD, Greg","Blood Pressure NOT Controlled  >140/90 mm Hg    ","13","100",".1300","2017-12-03 23:34:27.100000000"
"Anderson MD, Greg","Chlamydia","2","7",".2857","2017-12-03 23:35:27.723000000"
"Anderson MD, Greg","Colorectal Cancer Screening (Colonoscopy/Sigmoid/FIT test)","532","665",".8000","2017-12-03 23:35:20.007000000"
"Anderson MD, Greg","Diabetes Care Gaps ","95","100",".9500","2017-12-03 23:42:57.800000000"
"Anderson MD, Greg","DM PTS 40 to 75 w/STATIN","64","77",".8312","2017-12-03 23:42:22.720000000"
"Anderson MD, Greg","DM PTS 55-75 w/ACE/ARB","60","67",".8955","2017-12-03 23:42:18.187000000"
"Anderson MD, Greg","Eye exam","48","100",".4800","2017-12-03 23:34:31.410000000"
"Anderson MD, Greg","Foot Exam","82","100",".8200","2017-12-03 23:34:36.410000000"
"Anderson MD, Greg","HgbA1c < 7.0                     ","36","100",".3600","2017-12-03 23:34:42.037000000"
"Anderson MD, Greg","HgbA1c NOT > 9.0 (poor control) ","84","100",".8400","2017-12-03 23:34:46.677000000"
"Anderson MD, Greg","Hypertension Patients 18-59 years BP <140/90","99","163",".6074","2017-12-03 23:35:01.780000000"
