NAME,Metricname,SeenNum,SeenDenom,SeenAvg,LastUpdate
Bellingham Bay Medical Center,AAA Screening,108,334,0.2167,00:04.5
Birch Bay Family Medicine,AAA Screening,11,244,0.0397,00:04.5
Everson Family Medicine,AAA Screening,25,124,0.2033,00:04.5
Family Health Associates,AAA Screening,107,386,0.3277,00:04.5
Ferndale Family Medical Center,AAA Screening,21,316,0.1028,00:04.5
Island Family Physicians,AAA Screening,6,255,0.0244,00:04.5
Lynden Family Medicine,AAA Screening,12,355,0.1869,00:04.5
North Cascade Family Physicians,AAA Screening,90,488,0.2053,00:04.5
North Sound Family Medicine,AAA Screening,159,578,0.2597,00:04.5
Squalicum Family Medicine,AAA Screening,69,273,0.1868,00:04.5
Whatcom Family Medicine,AAA Screening,69,177,0.432,00:04.5
Bellingham Bay Medical Center,Advance Directive - Patients >55yrs w/Advance Directive ,,3332,,00:04.5
Birch Bay Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,,1993,,00:04.5
Everson Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,,1059,,00:04.5
Family Health Associates,Advance Directive - Patients >55yrs w/Advance Directive ,,4272,,00:04.5
Ferndale Family Medical Center,Advance Directive - Patients >55yrs w/Advance Directive ,,2948,,00:04.5
Island Family Physicians,Advance Directive - Patients >55yrs w/Advance Directive ,,2755,,00:04.5
Lynden Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,,4027,,00:04.5
North Cascade Family Physicians,Advance Directive - Patients >55yrs w/Advance Directive ,,4891,,00:04.5
North Sound Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,,5062,,00:04.5
Squalicum Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,,3250,,00:04.5
Whatcom Family Medicine,Advance Directive - Patients >55yrs w/Advance Directive ,,1513,,00:04.5
Bellingham Bay Medical Center,Blood Pressure NOT Controlled  >140/90 mm Hg    ,57,433,0.136,00:04.5
Birch Bay Family Medicine,Blood Pressure NOT Controlled  >140/90 mm Hg    ,84,417,0.1814,00:04.5
Everson Family Medicine,Blood Pressure NOT Controlled  >140/90 mm Hg    ,35,231,0.2858,00:04.5
Family Health Associates,Blood Pressure NOT Controlled  >140/90 mm Hg    ,60,620,0.0858,00:04.5
Ferndale Family Medical Center,Blood Pressure NOT Controlled  >140/90 mm Hg    ,58,611,0.0997,00:04.5
Island Family Physicians,Blood Pressure NOT Controlled  >140/90 mm Hg    ,83,459,0.1587,00:04.5
Lynden Family Medicine,Blood Pressure NOT Controlled  >140/90 mm Hg    ,125,807,0.1491,00:04.5
North Cascade Family Physicians,Blood Pressure NOT Controlled  >140/90 mm Hg    ,250,951,0.2611,00:04.5
North Sound Family Medicine,Blood Pressure NOT Controlled  >140/90 mm Hg    ,106,781,0.1333,00:04.5
Squalicum Family Medicine,Blood Pressure NOT Controlled  >140/90 mm Hg    ,68,437,0.1638,00:04.5
Whatcom Family Medicine,Blood Pressure NOT Controlled  >140/90 mm Hg    ,49,254,0.1716,00:04.5
Bellingham Bay Medical Center,Chlamydia,30,188,0.1776,00:04.5
Birch Bay Family Medicine,Chlamydia,7,33,0.2619,00:04.5
