NAME,CLINIC
"Alexander MD, Steven",LFM
"Anderson MD, Greg",BellB
"Anderson MD, Rodney",FHA
"Bates MD, Jennifer",FFMC
Bellingham Bay Medical Center,BellB
"Billau DO, Shannon",WFM
"Binder MD, Richard",WFM
Birch Bay Family Medicine,BBMF
"Bjorseth, Franklin",IFP
"Bloom MD, Edward",FHA
"Bloom MD, Jessica",FHA
"Bloom MD, Steven",WFM
"Bonner, MD, Ian",BellB
"Bowling, Sara",BellB
"Bradt DO, Rory",NSFM
"Brejcha ARNP, Rebecca",FFMC
"Brodsky, Lisa",NSFM
"Burden MD, Margaret",LFM
"Bylund MD, Erik",NCFP
"Caldwell MD, Robin",LFM
"Case ARNP, Erinn",NCFP
"Eiford PA-C, William",NSFM
"Estep MD, Roger",NCFP
Everson Family Medicine,EFM
Family Health Associates,FHA
Ferndale Family Medical Center,FFMC
"Fleming PA-C, Michael",LFM
"Floyd MD, Anneliese",NSFM
"Fox DO, Laura",BellB
"Fredette MD, MSNu, Renay",FFMC
"Gambs MD, Catherine",NCFP
"Gamson MD, Jonathan",NCFP
"Gavareski MD, David",FHA
"Gaylord ARNP, ND, Elizabeth",NSFM
"Goodman ARNP, Karen",LFM
"Gunningham MD, Frederick",BBFM
"Hall MD, Deborah",FHA
"Hansom MD, Janet",NCFP
"Hartwell MD, Larry",LFM
"Hein MD, Shelby",SFM
"Herdman MD, S. Harry",SFM
"Herrman ARNP, Sarah",NSFM
"Hiemstra DO, John",LFM
"Honey DO, Heather",SFM
"Honey MD, Robert",FHA
"Hopper MD, James",BellB
"Hruby MD, John",FFMC
Island Family Physicians,IFP
"Jacobs MD, Kellie",FHA
"James, Michael",IFP
"Kerlin ARNP, Sharon",FHA
"Lelonek, Meghan",FHA
"Lewis MD, Stephen",FFMC
Lynden Family Medicine,LFM
"Maloney PA-C, Erin",FFMC
"McClenahan MD, Richard",SFM
"McConahey PA-C, Joseph",NCFP
"McLaughlin MD, Patrick",NSFM
"McPherson ARNP, Sally",NCFP
"Muller MD, Lucia",NCFP
North Cascade Family Physicians,NCFP
North Sound Family Medicine,NSFM
"O'Keefe MD, Karen",BellB
"Pavlik ARNP, Lillian",SFM
"Payne-Zajac PA-C, Patricia",EFM
"Pederson MD, Bruce",BBFM
"Ploudre MD, Jonathan",NCFP
"Raduege MD, John",NSFM
"Regier ARNP, Teresa",BBFM
"Rey MD, Claudia",FFMC
"Rieger, Robert",IFP
"Roessler MD, Deborah",SFM
"Safford MD, Bertha",FFMC
"Sauve ARNP, Lauren",NCFP
"Schimke, MD, Melana",BellB
"Shapiro MD, Miriam",FHA
"Short MD, Jason",NSFM
"Short MD, Vicki",NSFM
"Snyder DO, Ashley",LFM
Squalicum Family Medicine,SFM
"Steele MD, Michael",EFM
"Stewart ARNP, Sarah",LFM
"Swanson MD, Mary",NSFM
"Sweeney, Margaret",IFP
"VanHofwegen MD, Lisa",BellB
"Wakefield-Pagels MD, April",NSFM
"Welty MD, Joy",SFM
"Werner MD, Matt",SFM
Whatcom Family Medicine,WFM
"Winkes MD, L Sloane",NCFP
"Wu MD, Chao-Ying",NSFM
