PVID,metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,seen_num_over_denom,all_num_over_denom,
1.37449785300061E+15,COLORECTAL,504,602,83.7209302325581395,568,710,80.0000000000000000,6564,6565,273,1,1/1/2017 11:42:44 PM,0.8372093023255813953,0.8000000000000000000,
1.37449785300061E+15,COLORECTAL,504,602,83.7209302325581395,568,710,80.0000000000000000,6564,6565,273,1,1/2/2017 11:44:21 PM,0.8372093023255813953,0.8000000000000000000,
1.37449785300061E+15,COLORECTAL,505,603,83.7479270315091211,568,711,79.8874824191279887,6564,6565,273,1,1/3/2017 11:39:02 PM,0.8374792703150912106,0.7988748241912798874,
1.37449785300061E+15,COLORECTAL,504,600,84.0000000000000000,568,711,79.8874824191279887,6564,6565,273,1,1/4/2017 11:37:14 PM,0.8400000000000000000,0.7988748241912798874,
1.37449785300061E+15,COLORECTAL,502,599,83.8063439065108514,567,711,79.7468354430379747,6564,6565,273,1,1/5/2017 11:42:58 PM,0.8380634390651085141,0.7974683544303797468,
1.37449785300061E+15,COLORECTAL,502,600,83.6666666666666667,567,712,79.6348314606741573,6564,6565,273,1,1/6/2017 11:42:50 PM,0.8366666666666666666,0.7963483146067415730,
1.37449785300061E+15,COLORECTAL,502,600,83.6666666666666667,567,712,79.6348314606741573,6564,6565,273,1,1/8/2017 11:42:46 PM,0.8366666666666666666,0.7963483146067415730,
1.37449785300061E+15,COLORECTAL,504,602,83.7209302325581395,567,712,79.6348314606741573,6564,6565,273,1,1/9/2017 11:42:11 PM,0.8372093023255813953,0.7963483146067415730,
1.37449785300061E+15,COLORECTAL,504,602,83.7209302325581395,567,712,79.6348314606741573,6564,6565,273,1,1/10/2017 11:46:16 PM,0.8372093023255813953,0.7963483146067415730,
1.37449785300061E+15,COLORECTAL,505,603,83.7479270315091211,568,712,79.7752808988764045,6564,6565,273,1,1/11/2017 11:41:28 PM,0.8374792703150912106,0.7977528089887640449,
1.37449785300061E+15,COLORECTAL,507,605,83.8016528925619835,568,712,79.7752808988764045,6564,6565,273,1,1/12/2017 11:42:05 PM,0.8380165289256198347,0.7977528089887640449,
1.37449785300061E+15,COLORECTAL,508,606,83.8283828382838284,568,712,79.7752808988764045,6564,6565,273,1,1/13/2017 11:45:01 PM,0.8382838283828382838,0.7977528089887640449,
1.37449785300061E+15,COLORECTAL,508,606,83.8283828382838284,568,712,79.7752808988764045,6564,6565,273,1,1/15/2017 11:47:15 PM,0.8382838283828382838,0.7977528089887640449,
1.37449785300061E+15,COLORECTAL,508,606,83.8283828382838284,568,712,79.7752808988764045,6564,6565,273,1,1/16/2017 11:39:40 PM,0.8382838283828382838,0.7977528089887640449,
1.37449785300061E+15,COLORECTAL,508,606,83.8283828382838284,569,712,79.9157303370786517,6564,6565,273,1,1/17/2017 11:44:24 PM,0.8382838283828382838,0.7991573033707865168,
1.37449785300061E+15,COLORECTAL,507,605,83.8016528925619835,569,712,79.9157303370786517,6564,6565,273,1,1/18/2017 11:44:04 PM,0.8380165289256198347,0.7991573033707865168,
1.37449785300061E+15,COLORECTAL,507,605,83.8016528925619835,569,712,79.9157303370786517,6564,6565,273,1,1/19/2017 11:40:53 PM,0.8380165289256198347,0.7991573033707865168,
1.37449785300061E+15,COLORECTAL,507,605,83.8016528925619835,569,712,79.9157303370786517,6564,6565,273,1,1/20/2017 11:44:59 PM,0.8380165289256198347,0.7991573033707865168,
1.37449785300061E+15,COLORECTAL,508,606,83.8283828382838284,569,712,79.9157303370786517,6564,6565,273,1,1/22/2017 11:36:06 PM,0.8382838283828382838,0.7991573033707865168,
1.37449785300061E+15,COLORECTAL,508,606,83.8283828382838284,569,712,79.9157303370786517,6564,6565,273,1,1/23/2017 11:38:09 PM,0.8382838283828382838,0.7991573033707865168,
1.37449785300061E+15,COLORECTAL,507,606,83.6633663366336634,568,712,79.7752808988764045,6564,6565,273,1,1/24/2017 11:35:47 PM,0.8366336633663366336,0.7977528089887640449,
1.37449785300061E+15,COLORECTAL,507,605,83.8016528925619835,568,712,79.7752808988764045,6564,6565,273,1,1/25/2017 11:44:02 PM,0.8380165289256198347,0.7977528089887640449,
1.37449785300061E+15,COLORECTAL,506,603,83.9137645107794362,570,713,79.9438990182328191,6564,6565,273,1,1/26/2017 11:43:30 PM,0.8391376451077943615,0.7994389901823281907,
1.37449785300061E+15,COLORECTAL,506,603,83.9137645107794362,570,712,80.0561797752808989,6564,6565,273,1,1/27/2017 11:40:25 PM,0.8391376451077943615,0.8005617977528089887,
1.37449785300061E+15,COLORECTAL,505,602,83.8870431893687708,569,711,80.0281293952180028,6564,6565,273,1,1/29/2017 11:42:15 PM,0.8388704318936877076,0.8002812939521800281,
1.37449785300061E+15,COLORECTAL,507,605,83.8016528925619835,570,712,80.0561797752808989,6564,6565,273,1,1/30/2017 11:44:59 PM,0.8380165289256198347,0.8005617977528089887,
1.37449785300061E+15,COLORECTAL,506,605,83.6363636363636364,571,712,80.1966292134831461,6564,6565,273,1,1/31/2017 11:47:45 PM,0.8363636363636363636,0.8019662921348314606,
1.37449785300061E+15,COLORECTAL,505,604,83.6092715231788079,571,712,80.1966292134831461,6564,6565,273,1,2/1/2017 11:47:44 PM,0.8360927152317880794,0.8019662921348314606,
1.37449785300061E+15,COLORECTAL,505,605,83.4710743801652893,571,713,80.0841514726507714,6564,6565,273,1,2/2/2017 11:45:08 PM,0.8347107438016528925,0.8008415147265077138,
1.37449785300061E+15,COLORECTAL,504,604,83.4437086092715232,570,712,80.0561797752808989,6564,6565,273,1,2/3/2017 11:40:30 PM,0.8344370860927152317,0.8005617977528089887,
1.37449785300061E+15,COLORECTAL,504,604,83.4437086092715232,570,712,80.0561797752808989,6564,6565,273,1,2/5/2017 11:39:57 PM,0.8344370860927152317,0.8005617977528089887,
1.37449785300061E+15,COLORECTAL,504,604,83.4437086092715232,570,712,80.0561797752808989,6564,6565,273,1,2/6/2017 11:37:35 PM,0.8344370860927152317,0.8005617977528089887,
1.37449785300061E+15,COLORECTAL,504,604,83.4437086092715232,570,712,80.0561797752808989,6564,6565,273,1,2/7/2017 11:37:09 PM,0.8344370860927152317,0.8005617977528089887,
1.37449785300061E+15,COLORECTAL,505,605,83.4710743801652893,570,712,80.0561797752808989,6564,6565,273,1,2/8/2017 11:42:28 PM,0.8347107438016528925,0.8005617977528089887,
1.37449785300061E+15,COLORECTAL,505,605,83.4710743801652893,570,712,80.0561797752808989,6564,6565,273,1,2/9/2017 11:45:29 PM,0.8347107438016528925,0.8005617977528089887,
1.37449785300061E+15,COLORECTAL,505,604,83.6092715231788079,570,712,80.0561797752808989,6564,6565,273,1,2/10/2017 11:39:42 PM,0.8360927152317880794,0.8005617977528089887,
1.37449785300061E+15,COLORECTAL,504,604,83.4437086092715232,569,712,79.9157303370786517,6564,6565,273,1,2/12/2017 11:45:38 PM,0.8344370860927152317,0.7991573033707865168,
1.37449785300061E+15,COLORECTAL,505,605,83.4710743801652893,569,712,79.9157303370786517,6564,6565,273,1,2/13/2017 11:40:03 PM,0.8347107438016528925,0.7991573033707865168,
1.37449785300061E+15,COLORECTAL,505,605,83.4710743801652893,569,712,79.9157303370786517,6564,6565,273,1,2/14/2017 11:41:41 PM,0.8347107438016528925,0.7991573033707865168,
1.37449785300061E+15,COLORECTAL,505,606,83.3333333333333333,569,713,79.8036465638148668,6564,6565,273,1,2/15/2017 11:37:34 PM,0.8333333333333333333,0.7980364656381486676,
1.37449785300061E+15,COLORECTAL,505,606,83.3333333333333333,569,713,79.8036465638148668,6564,6565,273,1,2/16/2017 11:40:24 PM,0.8333333333333333333,0.7980364656381486676,
1.37449785300061E+15,COLORECTAL,505,606,83.3333333333333333,570,714,79.8319327731092437,6564,6565,273,1,2/17/2017 11:38:02 PM,0.8333333333333333333,0.7983193277310924369,
1.37449785300061E+15,COLORECTAL,505,606,83.3333333333333333,570,715,79.7202797202797203,6564,6565,273,1,2/19/2017 11:40:06 PM,0.8333333333333333333,0.7972027972027972027,
1.37449785300061E+15,COLORECTAL,506,606,83.4983498349834983,571,715,79.8601398601398601,6564,6565,273,1,2/20/2017 11:43:16 PM,0.8349834983498349834,0.7986013986013986013,
1.37449785300061E+15,COLORECTAL,506,606,83.4983498349834983,571,715,79.8601398601398601,6564,6565,273,1,2/21/2017 11:42:10 PM,0.8349834983498349834,0.7986013986013986013,
1.37449785300061E+15,COLORECTAL,506,605,83.6363636363636364,571,715,79.8601398601398601,6564,6565,273,1,2/22/2017 11:44:11 PM,0.8363636363636363636,0.7986013986013986013,
1.37449785300061E+15,COLORECTAL,507,605,83.8016528925619835,571,715,79.8601398601398601,6564,6565,273,1,2/23/2017 11:39:18 PM,0.8380165289256198347,0.7986013986013986013,
1.37449785300061E+15,COLORECTAL,506,603,83.9137645107794362,571,715,79.8601398601398601,6564,6565,273,1,2/24/2017 11:40:37 PM,0.8391376451077943615,0.7986013986013986013,
1.37449785300061E+15,COLORECTAL,504,602,83.7209302325581395,570,715,79.7202797202797203,6564,6565,273,1,2/26/2017 11:42:44 PM,0.8372093023255813953,0.7972027972027972027,
1.37449785300061E+15,COLORECTAL,505,603,83.7479270315091211,570,715,79.7202797202797203,6564,6565,273,1,2/27/2017 11:38:09 PM,0.8374792703150912106,0.7972027972027972027,
1.37449785300061E+15,COLORECTAL,504,602,83.7209302325581395,570,715,79.7202797202797203,6564,6565,273,1,2/28/2017 11:43:18 PM,0.8372093023255813953,0.7972027972027972027,
